"mean","sd","lower","median","upper","mode","kld","param","model","region","Disease"
0.0830484069486263,0.806246506082431,-1.46278726536334,0.0681338139355795,1.70590107759966,0.0662716733777124,6.7963667573302e-08,"Intercept","mod","LAC","Dengue"
0.369825621075633,0.0889567097455359,0.195698047883678,0.369712522314886,0.544598101557162,0.369712308899438,4.27336285997798e-10,"biodiv_intact","mod","LAC","Dengue"
0.0300745678027035,0.0540823466072067,-0.0760305063784515,0.0300921052181404,0.136080013481912,0.0300922510478821,5.13975185196782e-11,"crop_expansion","mod","LAC","Dengue"
0.345138077582826,0.078081080823734,0.192178603129845,0.34508049581272,0.498424659278948,0.345080034220477,1.46223108101172e-10,"evi_dissimilarity","mod","LAC","Dengue"
0.166858507305634,0.0834625258748586,0.00309048433902007,0.166890592031229,0.330443698005967,0.166890686499544,4.59429439529988e-11,"forest_cover","mod","LAC","Dengue"
-0.243389627608345,0.0622242092135247,-0.365461703966246,-0.243372992864993,-0.121412532692075,-0.243372997285376,3.18878451514193e-11,"forest_loss","mod","LAC","Dengue"
-0.195166206697514,0.0778158380296697,-0.347519690673316,-0.195257012277604,-0.0422962573633131,-0.195257516837481,3.47175916560875e-10,"precip_change","mod","LAC","Dengue"
0.130348381596116,0.0558460566681781,0.0209258477104858,0.130316355955157,0.23995334223696,0.130316231811374,1.09907895606739e-10,"protected_areas","mod","LAC","Dengue"
-0.0878039642496845,0.0906263146396795,-0.265409793388356,-0.0878450865247118,0.0900361175339699,-0.0878452349308163,6.51666005544735e-11,"social_vulnerability","mod","LAC","Dengue"
-0.106902970524693,0.118481197029302,-0.340131495867751,-0.106618061700146,0.124710999147454,-0.10661536797675,1.58588650413448e-09,"tmean_change","mod","LAC","Dengue"
1.20506457132613,0.151440346490556,0.908280110102125,1.20500098614893,1.5022115455899,1.20500081755504,8.61144065398504e-11,"urban_cover","mod","LAC","Dengue"
-0.201720913908403,0.0993740624221936,-0.396452507902432,-0.201772625011413,-0.00669521249652666,-0.201772946704368,7.99826246400254e-11,"urban_expansion","mod","LAC","Dengue"
-1.0286199585688,0.104867117609382,-1.23443250833823,-1.02856088928246,-0.823144149456459,-1.02856073914986,1.06134383022605e-10,"health_travel_log","mod","LAC","Dengue"
