"mean","sd","lower","median","upper","mode","kld","param","model","region","Disease"
-1.0764916419679,1.12307990823983,-3.33189444409384,-1.05451539834181,1.0812079669743,-1.04947342488959,4.60778669597259e-08,"Intercept","mod","AFR","Yellow fever"
0.431573032975564,0.226983987776363,-0.0110252524410406,0.43062044579031,0.879571138815122,0.430612424189475,4.62566011982831e-09,"biodiv_intact","mod","AFR","Yellow fever"
0.308473512072688,0.188102943558971,-0.0583132421647188,0.307678461682093,0.67979920029332,0.307681473298249,4.96191951914097e-09,"crop_cover","mod","AFR","Yellow fever"
-0.0672665849673659,0.131540826761296,-0.32515320062115,-0.0673099296848337,0.190866692657502,-0.067310091612341,7.39937803856477e-11,"crop_expansion","mod","AFR","Yellow fever"
0.328292892415385,0.14559672130821,0.0449887622066896,0.327476314363166,0.61626444048172,0.327480297670384,8.32052798553386e-09,"evi_dissimilarity","mod","AFR","Yellow fever"
0.350544521795328,0.288806032865832,-0.213702484142402,0.349722805433172,0.919487183401124,0.349726709204259,2.35902515367643e-09,"forest_cover","mod","AFR","Yellow fever"
0.113871112695233,0.123314442488473,-0.12777165107778,0.113790380964776,0.355977534260205,0.113791322728052,1.58433814510167e-10,"forest_loss","mod","AFR","Yellow fever"
-0.394292846202807,0.330143148103917,-1.04545034353837,-0.393098024532025,0.250128195885563,-0.393079462142787,3.74038176836848e-09,"precip_change","mod","AFR","Yellow fever"
-0.0147838140035002,0.135760051225966,-0.280957102523457,-0.0148163472931055,0.251573703402184,-0.0148167548765517,2.23041425918717e-11,"protected_areas","mod","AFR","Yellow fever"
0.169980990332603,0.170015570836378,-0.165589653536294,0.170701341241137,0.501449705970471,0.170702513290123,4.72039979979151e-09,"social_vulnerability","mod","AFR","Yellow fever"
-0.442136106754623,0.430218820498515,-1.28825915938689,-0.441565272407391,0.400889735452554,-0.441525154309675,2.62120859591695e-09,"tmean_change","mod","AFR","Yellow fever"
0.804173866008844,0.148936564951521,0.513464330082091,0.803669932029905,1.09776062890588,0.803671057190162,3.03672025523815e-09,"urban_cover","mod","AFR","Yellow fever"
-1.27777012135594,0.209926410199722,-1.6927201913709,-1.27666307803164,-0.869164345940886,-1.27667147549756,7.30454969073271e-09,"health_travel_log","mod","AFR","Yellow fever"
