"mean","sd","lower","median","upper","mode","kld","param","model","region","Disease"
-0.991262549778204,1.00076887600623,-2.81504096374869,-1.02701707868556,1.05895457438242,-1.02205458849698,7.17184832705903e-07,"Intercept","mod","LAC","Yellow fever"
-0.0992207752630008,0.142068334875827,-0.377614546757109,-0.0993200165593404,0.179731240638615,-0.0993222508145346,2.01950236599273e-10,"biodiv_intact","mod","LAC","Yellow fever"
-0.0880053939703945,0.147490493084448,-0.37828559548056,-0.0876728301223745,0.200381584396954,-0.0876721522362186,1.47791335504713e-09,"crop_cover","mod","LAC","Yellow fever"
0.111482323320885,0.11478449019297,-0.114045487045051,0.111612898822687,0.336265402509323,0.111612846179277,4.22412332779354e-10,"crop_expansion","mod","LAC","Yellow fever"
0.396988772044377,0.132116717569445,0.137933051735396,0.396960795998493,0.656207039214471,0.39696167702596,5.14500158785552e-11,"evi_dissimilarity","mod","LAC","Yellow fever"
0.348060291436767,0.204424696800069,-0.0549558356319153,0.348771571558544,0.747025788680445,0.348773110859565,3.16713362760178e-09,"forest_cover","mod","LAC","Yellow fever"
-0.0381592377361159,0.105969047383646,-0.245646590482406,-0.038285689774627,0.170052054306047,-0.038284895902596,4.09382940597447e-10,"forest_loss","mod","LAC","Yellow fever"
0.0568238410165298,0.159621994251996,-0.255266230897756,0.0564692350908807,0.370934307766431,0.0564687476578729,1.33188285765953e-09,"hunting","mod","LAC","Yellow fever"
-0.0546935047784084,0.147609787356313,-0.343613396242804,-0.0549296853053694,0.235574806897656,-0.0549288821472531,9.77579952277379e-10,"precip_change","mod","LAC","Yellow fever"
0.207967878324636,0.114413179515637,-0.0166052653541562,0.208020898937359,0.432239275532605,0.208021083393216,1.26421016645285e-10,"protected_areas","mod","LAC","Yellow fever"
0.021865963370864,0.160327057143552,-0.293406271010957,0.0221515351835778,0.33550977103231,0.0221517077929853,8.35536024342674e-10,"social_vulnerability","mod","LAC","Yellow fever"
-0.382410133568043,0.288342915247273,-0.95139893532461,-0.381388652045997,0.180822794921714,-0.381375423841759,5.59215195877481e-09,"tmean_change","mod","LAC","Yellow fever"
0.148791088592749,0.130884246871018,-0.107329317217549,0.148578553216861,0.406121646675856,0.148577998371956,7.23847480306275e-10,"urban_cover","mod","LAC","Yellow fever"
-0.788258945218186,0.197983925164136,-1.1765194617092,-0.788274401727625,-0.399909236869255,-0.788274103934804,1.02107327355709e-11,"health_travel_log","mod","LAC","Yellow fever"
