"variable","value","total_pop","prop_pop","type","mins_tt","Disease"
"tt_motorized_120",5484371558.36512,5656513070.63831,0.969567556881157,"motorized","120","Dengue"
"tt_motorized_30",4847548500.77058,5656513070.63831,0.856985291156335,"motorized","30","Dengue"
"tt_motorized_60",5279147544.22292,5656513070.63831,0.933286545668178,"motorized","60","Dengue"
"tt_motorized_90",5419620904.26979,5656513070.63831,0.958120459829189,"motorized","90","Dengue"
"tt_walking_120",4501812829.99928,5656513070.63831,0.795863595430758,"walking","120","Dengue"
"tt_walking_30",2401871620.61608,5656513070.63831,0.424620537532859,"walking","30","Dengue"
"tt_walking_60",3451163227.52491,5656513070.63831,0.610122028257855,"walking","60","Dengue"
"tt_walking_90",4078527446.45302,5656513070.63831,0.721032090887184,"walking","90","Dengue"
