"variable","value","total_pop","prop_pop","type","mins_tt","Disease"
"tt_motorized_120",5221711252.67233,5357299617.48545,0.974690912494314,"motorized","120","Anthrax"
"tt_motorized_30",4616902471.49898,5357299617.48545,0.861796576848173,"motorized","30","Anthrax"
"tt_motorized_60",5028074979.35128,5357299617.48545,0.938546532462059,"motorized","60","Anthrax"
"tt_motorized_90",5160268680.7667,5357299617.48545,0.963221968008721,"motorized","90","Anthrax"
"tt_walking_120",4260575337.06243,5357299617.48545,0.795284124702777,"walking","120","Anthrax"
"tt_walking_30",2185635749.39669,5357299617.48545,0.407973401798006,"walking","30","Anthrax"
"tt_walking_60",3202031130.01592,5357299617.48545,0.597694987893707,"walking","60","Anthrax"
"tt_walking_90",3833820014.59365,5357299617.48545,0.715625462141528,"walking","90","Anthrax"
