"variable","value","total_pop","prop_pop","type","mins_tt","Disease"
"tt_motorized_120",379892985.849318,394352298.906734,0.963334021134144,"motorized","120","Zika"
"tt_motorized_30",339354985.662287,394352298.906734,0.860537612188603,"motorized","30","Zika"
"tt_motorized_60",366070944.847775,394352298.906734,0.928284039075304,"motorized","60","Zika"
"tt_motorized_90",375404387.946325,394352298.906734,0.951951818176442,"motorized","90","Zika"
"tt_walking_120",309965386.52864,394352298.906734,0.786011359355478,"walking","120","Zika"
"tt_walking_30",214260394.134213,394352298.906734,0.543322290064515,"walking","30","Zika"
"tt_walking_60",269026744.913524,394352298.906734,0.682199002413194,"walking","60","Zika"
"tt_walking_90",292868305.369694,394352298.906734,0.742656518502909,"walking","90","Zika"
