"variable","value","total_pop","prop_pop","type","mins_tt","Disease"
"tt_motorized_120",4356931135.71617,4495541791.95453,0.969167085380806,"motorized","120","Chikungunya"
"tt_motorized_30",3828121080.8963,4495541791.95453,0.851537202422926,"motorized","30","Chikungunya"
"tt_motorized_60",4187675639.89589,4495541791.95453,0.931517452999856,"motorized","60","Chikungunya"
"tt_motorized_90",4302342421.89384,4495541791.95453,0.957024230003502,"motorized","90","Chikungunya"
"tt_walking_120",3515948233.54951,4495541791.95453,0.782096662929894,"walking","120","Chikungunya"
"tt_walking_30",1782958174.50902,4495541791.95453,0.39660585020028,"walking","30","Chikungunya"
"tt_walking_60",2628619173.08502,4495541791.95453,0.584716880574739,"walking","60","Chikungunya"
"tt_walking_90",3153459922.24951,4495541791.95453,0.701463820866512,"walking","90","Chikungunya"
