"variable","value","total_pop","prop_pop","type","mins_tt","Disease"
"tt_motorized_120",335679111.091492,351814668.553946,0.954136200378524,"motorized","120","Mayaro virus disease"
"tt_motorized_30",292347730.731333,351814668.553946,0.830970840223808,"motorized","30","Mayaro virus disease"
"tt_motorized_60",320269731.400967,351814668.553946,0.910336492555478,"motorized","60","Mayaro virus disease"
"tt_motorized_90",330600163.0546,351814668.553946,0.939699769806236,"motorized","90","Mayaro virus disease"
"tt_walking_120",266806862.126152,351814668.553946,0.758373331114364,"walking","120","Mayaro virus disease"
"tt_walking_30",179900023.430896,351814668.553946,0.511348842191071,"walking","30","Mayaro virus disease"
"tt_walking_60",229320713.273227,351814668.553946,0.651822489993944,"walking","60","Mayaro virus disease"
"tt_walking_90",251163909.875721,351814668.553946,0.71390971532845,"walking","90","Mayaro virus disease"
