"variable","value","total_pop","prop_pop","type","mins_tt","Disease"
"tt_motorized_120",334352128.446023,349715229.118863,0.956069683577841,"motorized","120","Chagas disease (acute)"
"tt_motorized_30",295772290.355584,349715229.118863,0.845751816701856,"motorized","30","Chagas disease (acute)"
"tt_motorized_60",320033279.236494,349715229.118863,0.915125372271734,"motorized","60","Chagas disease (acute)"
"tt_motorized_90",329574233.424513,349715229.118863,0.942407438917954,"motorized","90","Chagas disease (acute)"
"tt_walking_120",273134627.916605,349715229.118863,0.781020113435698,"walking","120","Chagas disease (acute)"
"tt_walking_30",192831813.779475,349715229.118863,0.551396672845308,"walking","30","Chagas disease (acute)"
"tt_walking_60",239275990.007974,349715229.118863,0.684202374059747,"walking","60","Chagas disease (acute)"
"tt_walking_90",258963765.570129,349715229.118863,0.740498966037626,"walking","90","Chagas disease (acute)"
