UniqueID,Year,Latitude,Longitude,Admin,Area
60,2014,-21.228995,-159.778515,0,0.021433
86,2016,3.931918,-53.125631,0,6.790252
107,2016,4.860018,-58.930276,0,17.155972
191,2015,9.119517,-77.927278,0,6.162857
666,2015,-9.571605,-36.781967,1,2.296019
667,2015,0.901595,-52.002963,1,11.435168
669,2015,-12.581148,-41.700702,1,46.934364
670,2015,-5.499209,-39.320746,1,12.012529
671,2016,-15.82817,-47.921882,1,0.489396
672,2015,-19.183585,-40.308897,1,3.976356
674,2015,-4.961679,-45.274487,1,26.763515
675,2015,-12.682581,-56.921121,1,75.320381
676,2015,-20.784534,-54.785115,1,30.899025
677,0,-18.513983,-44.555374,1,50.197842
678,2015,-1.999915,-54.930698,1,100.746468
679,2015,-7.240351,-36.781949,1,4.614784
680,2015,-25.252274,-52.021589,1,17.726084
681,2015,-8.814019,-36.954038,1,8.0939
682,2015,-7.720058,-42.729656,1,20.697477
683,2015,-22.91421,-43.209467,1,3.851849
684,2015,-5.403284,-36.954222,1,4.338994
686,2015,-11.505862,-63.5806,1,19.673294
687,2015,2.732801,-62.075179,1,18.193079
689,2015,-23.543561,-46.629258,1,21.768568
690,2015,-10.576339,-37.385702,1,1.812223
691,2015,-10.176788,-48.298297,1,22.889053
795,2010,11.675959,104.340354,1,0.57767
848,2015,14.932914,-23.513321,1,0.083517
935,2015,7.198385,-75.341303,1,5.170939
936,2016,6.5469,-71.002298,1,2.071639
937,2015,10.696534,-74.874112,1,0.36882
938,2015,8.669735,-74.029983,1,2.139201
941,2016,5.297943,-75.247975,1,0.616328
945,2015,9.336752,-73.653564,1,1.888869
947,2015,8.049159,-75.57406,1,2.046543
948,2015,5.025944,-74.030018,1,1.992989
952,2015,2.53511,-75.527883,1,1.650926
953,2016,10.4112,-74.405663,1,1.817158
956,2015,7.946197,-72.898823,1,1.871054
957,2016,0.435307,-75.527634,1,1.934362
959,2016,5.315774,-75.99277,1,0.329346
962,2015,8.813913,-74.723276,1,0.886665
963,2015,4.092406,-75.154533,1,1.906487
1271,2015,5.160627,-52.673366,1,3.457432
1272,2015,5.483035,-54.025139,1,3.332819
1382,1991,14.764294,-17.366062,2,0.00739
1421,2015,13.319741,-87.162232,1,0.366577
2060,2007,9.54302,138.112987,1,0.056701
2227,1980,10.342616,4.766414,1,3.053612
2420,2016,18.208921,-66.591156,1,0.112393
2777,2015,5.851977,-55.203838,1,0.013167
3307,2015,6.357257,-63.580839,1,19.610567
3324,2016,10.417616,-68.715476,1,0.513265
6357,2015,-9.755596,-36.663968,2,0.030156
6366,2015,-9.401673,-36.991421,2,0.02243
6380,2015,-9.385988,-37.998878,2,0.049937
6400,2015,-9.649889,-35.708921,2,0.044424
6406,2015,-9.577442,-36.305846,2,0.014098
6407,2015,-9.118682,-37.732641,2,0.075616
6408,2015,-9.097297,-35.587664,2,0.026951
6412,2015,-9.309578,-35.941993,2,0.034907
6420,2015,-9.406189,-36.633167,2,0.037951
6439,2015,-9.37045,-37.248349,2,0.036037
6445,2015,-9.7626,-36.13281,2,0.05421
6509,2015,-3.119277,-60.021504,2,0.927752
