"mean","sd","lower","median","upper","mode","kld","param","model","type","Disease","Num_observations"
-2.74869102379061,0.852859801934618,-4.19414291227973,-2.84270305807587,-0.730574009840819,-2.97620244252496,5.91399529036179e-07,"Intercept","mod","Univariate","Anthrax",119
-0.148495851581805,0.160773085040694,-0.465612300538098,-0.148026206042242,0.165893239299801,-0.147177718556787,2.00090977231274e-09,"biodiv_intact","mod","Univariate","Anthrax",119
-2.63902811074659,0.868520466945989,-4.10749949133169,-2.73605257027771,-0.615772877827846,-2.90447181084941,6.70070622354632e-07,"Intercept","mod","Univariate","Anthrax",119
-0.107998299121444,0.151875429834588,-0.409830556786327,-0.106736861726575,0.186627603018885,-0.104321584569304,6.93899699683103e-09,"crop_cover","mod","Univariate","Anthrax",119
-2.67316131740883,0.865236904880015,-4.14798008656522,-2.76476426157128,-0.653080458675307,-2.90644140287507,5.85755784109245e-07,"Intercept","mod","Univariate","Anthrax",119
-0.113279722841937,0.152667174991035,-0.414095606868182,-0.112877318598065,0.18524983626276,-0.112091919487689,1.07931192963041e-09,"crop_expansion","mod","Univariate","Anthrax",119
-2.99912937424099,0.775539221591674,-4.27166883584348,-3.0987972816574,-1.18230794186178,-3.24640682177311,1.02668693487774e-06,"Intercept","mod","Univariate","Anthrax",119
0.87125115537087,0.174749333461323,0.535646215537802,0.8685970362285,1.22200194681157,0.863533209293401,1.98748577915457e-08,"evi_dissimilarity","mod","Univariate","Anthrax",119
-2.44981507138209,0.905890998619617,-4.01430836159026,-2.53501205144352,-0.408990817806188,-2.7068927184755,6.08708387000797e-07,"Intercept","mod","Univariate","Anthrax",119
-0.696459155109392,0.211260614515015,-1.11964848067282,-0.693553763608739,-0.289954960488131,-0.688073458472068,1.7209679403195e-08,"forest_cover","mod","Univariate","Anthrax",119
-2.39556071499559,0.909108227145966,-3.94438365617679,-2.48272893275965,-0.337776376563061,-2.64115001748622,6.60292460984958e-07,"Intercept","mod","Univariate","Anthrax",119
-1.3944638638538,0.481485922547719,-2.34800772478982,-1.39140144672343,-0.458332640988156,-1.38540470961124,3.97735572049512e-09,"forest_loss","mod","Univariate","Anthrax",119
-2.58243111446135,0.880157109517428,-4.07066151872374,-2.6790276091621,-0.545077112635324,-2.85593629184517,7.19694345699536e-07,"Intercept","mod","Univariate","Anthrax",119
-0.130303773594839,0.280529971758539,-0.69100295306272,-0.126819578862729,0.410786884896192,-0.119873313768735,1.39696181965073e-08,"precip_change","mod","Univariate","Anthrax",119
-2.68791254681724,0.849368946418234,-4.119604121084,-2.78272101392949,-0.684558939831148,-2.92867455864197,6.0175978102617e-07,"Intercept","mod","Univariate","Anthrax",119
-0.19981798124548,0.152685425260942,-0.499661105808402,-0.199724422242192,0.0994971720961257,-0.199536489509325,9.46921484442408e-11,"protected_areas","mod","Univariate","Anthrax",119
-1.94950956956533,0.990910336882502,-3.76422634165471,-1.98945604555455,0.123008094833156,-2.045647220964,2.25162971270422e-07,"Intercept","mod","Univariate","Anthrax",119
-2.05972175812829,0.280513768336376,-2.64297944322851,-2.04905031454887,-1.53959802558012,-2.0301899175491,1.3453172109094e-07,"social_vulnerability","mod","Univariate","Anthrax",119
