"tmean_change:1","precip_change:1","forest_cover:1","forest_loss:1","crop_expansion:1","urban_cover:1","urban_expansion:1","evi_dissimilarity:1","biodiv_intact:1","livestock_log:1","type","id","Disease"
-0.229893350929117,0.160940792710015,0.410096624600321,-0.0710599166709909,0.0488818004319314,0.193843075882309,-0.109320409474919,0.0964093098716119,-0.19165484125616,-0.446438148501499,"Top-ranked",588092,"Lyme disease"
-0.163249572907007,0.0280280263743651,0.473032136862418,-0.166060107080995,0.0551682875652443,0.238942603907648,-0.169642276219014,0.170222610233649,-0.246651629729945,-0.351800328142653,"Top-ranked",588092,"Lyme disease"
-0.301835012464996,0.0760757674829886,0.429271460339809,-0.0978307839632687,0.0765439457911694,0.132511630991974,-0.101015169865201,0.166650097497437,-0.251275004952037,-0.46615678944953,"Top-ranked",588092,"Lyme disease"
-0.147201177895293,0.0954221500130997,0.408296592311819,-0.0348951641119766,0.0661231056498833,0.224571338417324,-0.158563010825013,0.177254689240182,-0.204000474770748,-0.43598959624811,"Top-ranked",588092,"Lyme disease"
-0.228000641981095,0.020569045090114,0.481036213370287,-0.124353079819478,0.0978171633702547,0.203565285599905,-0.105275359772205,0.128502754010699,-0.273169300791867,-0.441995271751663,"Top-ranked",588092,"Lyme disease"
-0.189968360482795,0.114762377340313,0.41782836226175,-0.109063608930136,0.0760038642697031,0.147704569502642,-0.155527919385748,0.203550555831481,-0.187941120995726,-0.410821888606467,"Top-ranked",588092,"Lyme disease"
-0.280508868995181,-0.0236427524332552,0.480565577085453,-0.125035009264904,0.0999750361012057,0.233881099725439,-0.0846921664670153,0.121150797082096,-0.281766097586706,-0.351731032710036,"Top-ranked",588092,"Lyme disease"
-0.157789429698176,0.0759199887881982,0.351945339108266,-0.0558904882888589,0.0643870139244358,0.170190483738693,-0.124285479030655,0.121014809878842,-0.0938905363575062,-0.381766287349082,"Top-ranked",588092,"Lyme disease"
-0.102034681573312,0.0209698305567377,0.449150547159555,-0.117343045948636,0.0220126662298821,0.185423005896994,-0.128850932270807,0.104524401816435,-0.160267160241234,-0.42720957639829,"Top-ranked",588092,"Lyme disease"
-0.361742353637118,-0.105832404924933,0.41768642176595,-0.0714981195521622,0.0457640214969348,0.169571669209924,-0.0899998631155041,0.150159790287655,-0.207333061055674,-0.343227671157506,"Top-ranked",588092,"Lyme disease"
-0.229484187534906,-0.0461621559483141,0.45361143319879,-0.135472662463394,0.0508507578010675,0.170348375375382,-0.0870241185690902,0.110753692412188,-0.195661201740562,-0.374098837482817,"Top-ranked",588092,"Lyme disease"
