"mean","sd","lower","median","upper","mode","kld","param","model","type","Disease","Num_observations"
2.03745993256728,0.582667680469317,0.90306067725814,2.03469833594421,3.18836095075533,2.02987668517619,2.76228462989285e-09,"Intercept","mod","Majority rule","Dengue",11313
0.179203816434026,0.0541119636353171,0.0732164405584909,0.179155973949478,0.28546245927361,0.179060840235639,1.27644234408869e-10,"biodiv_intact","mod","Majority rule","Dengue",11313
0.0145517922103707,0.0320926163697631,-0.0482668129739431,0.0145063002063433,0.0776336557672296,0.014420919738548,2.15780282499546e-10,"crop_expansion","mod","Majority rule","Dengue",11313
0.452312906251139,0.0517699700712055,0.350794533743284,0.452308144300023,0.553858502079497,0.452298880168132,4.31042159820485e-11,"evi_dissimilarity","mod","Majority rule","Dengue",11313
0.290155355447523,0.0503994370079022,0.191292480587609,0.290164031143186,0.388969616362761,0.290181817630813,6.86411632514858e-11,"forest_cover","mod","Majority rule","Dengue",11313
-0.0800277629430595,0.0309336191415035,-0.140649274567013,-0.0800432324246304,-0.0193194663877776,-0.0800748556935529,8.41355081816016e-11,"forest_loss","mod","Majority rule","Dengue",11313
-0.196512537866498,0.0494768331527658,-0.293528635038314,-0.196519502345791,-0.0994570408848395,-0.196533437737714,3.96454034783492e-11,"precip_change","mod","Majority rule","Dengue",11313
0.0740083270373386,0.0306038270905208,0.0140130339610591,0.0740044934178479,0.134025361376179,0.0739968442028446,1.73669318728866e-10,"protected_areas","mod","Majority rule","Dengue",11313
-0.189880077943531,0.0812401783012241,-0.349068244954119,-0.189929645677158,-0.0304114784538365,-0.190028794561241,8.13523535213954e-11,"social_vulnerability","mod","Majority rule","Dengue",11313
-0.33774451289773,0.0939023582535117,-0.522180844409447,-0.337652091212238,-0.153830388664747,-0.337466783314893,1.13861093027083e-10,"tmean_change","mod","Majority rule","Dengue",11313
1.91816715679963,0.115344594130622,1.69232987951495,1.91803233261523,2.14477026784289,1.91776550800568,1.71200825974166e-10,"urban_cover","mod","Majority rule","Dengue",11313
-0.0249176191244353,0.0750729711994637,-0.17218213811306,-0.0249062037345544,0.122282355713594,-0.0248833222287427,4.98775542064387e-11,"urban_expansion","mod","Majority rule","Dengue",11313
-0.683558609118418,0.0567679388562521,-0.794889695810845,-0.683559091072879,-0.572224977345743,-0.683560225760698,4.85930368094929e-11,"health_travel_log","mod","Majority rule","Dengue",11313
2.39276337099609,0.571751733150137,1.27645783515852,2.39108449626599,3.51926307973575,2.38829940091518,1.13628944117511e-09,"Intercept","mod","Top-ranked","Dengue",11313
0.199214596864825,0.0542234374066953,0.0930125927738213,0.199165496630222,0.305695063933144,0.19906792013349,1.33032336749147e-10,"biodiv_intact","mod","Top-ranked","Dengue",11313
0.177288206626226,0.048206238779909,0.0827073862801495,0.177303646508727,0.271782186844548,0.177335005396334,7.61973052394995e-11,"forest_cover","mod","Top-ranked","Dengue",11313
-0.0933121474652247,0.0309852126121906,-0.154028813090278,-0.0933296794009433,-0.0324968978029094,-0.0933653108982092,9.1677328328173e-11,"forest_loss","mod","Top-ranked","Dengue",11313
-0.206530377651045,0.050007983001943,-0.304572014153245,-0.206542988646136,-0.108417389966974,-0.206568213115007,4.4690662806787e-11,"precip_change","mod","Top-ranked","Dengue",11313
0.0818514399897191,0.0307376921523433,0.0215627219126806,0.0818593606914599,0.14209630918467,0.0818760223248076,1.96997273289702e-10,"protected_areas","mod","Top-ranked","Dengue",11313
-0.206165583718416,0.0816297207526407,-0.366122147960597,-0.206213533311846,-0.0459377816372468,-0.206309485120873,7.9099589954529e-11,"social_vulnerability","mod","Top-ranked","Dengue",11313
-0.410683409900563,0.094036227415835,-0.595403242144107,-0.410583329006469,-0.226529337693849,-0.410382929342633,1.3128405673616e-10,"tmean_change","mod","Top-ranked","Dengue",11313
1.97615531339424,0.118010396077512,1.74510461875148,1.97601496588236,2.2080032460088,1.97573722677208,1.74897655225205e-10,"urban_cover","mod","Top-ranked","Dengue",11313
0.0246087600437174,0.0776063908292146,-0.127609010806298,0.0246149194766435,0.176791768107128,0.0246273274546251,4.92688280272174e-11,"urban_expansion","mod","Top-ranked","Dengue",11313
-0.757961265616068,0.0567772603262642,-0.869319032179876,-0.75795871091562,-0.646618150375074,-0.757953783957083,4.95930485009045e-11,"health_travel_log","mod","Top-ranked","Dengue",11313
-0.00949451013912692,0.0560815193443686,-0.119531447117475,-0.00947721761209016,0.100444797329568,-0.00944243556100288,5.0467279211074e-11,"livestock_log","mod","Top-ranked","Dengue",11313
2.03245781908741,0.583033355503516,0.897084614388463,2.02977975780538,3.18385847324019,2.02512590875096,2.60991602516848e-09,"Intercept","mod","Any","Dengue",11313
0.173941893094325,0.054303238663708,0.0675669893913215,0.173897562833521,0.280568180790432,0.173809453435771,1.06995849056797e-10,"biodiv_intact","mod","Any","Dengue",11313
-0.0396634203965413,0.0523573296468584,-0.142366524418767,-0.0396567242858772,0.0630017100800122,-0.0396434131903328,4.31927570776024e-11,"crop_cover","mod","Any","Dengue",11313
0.0200354751863233,0.0333549434962019,-0.0446886555826691,0.0197707340520462,0.0862702662071707,0.0192514783842247,6.13533096968657e-09,"crop_expansion","mod","Any","Dengue",11313
0.453985469247525,0.0517576470939142,0.352510429609963,0.453973798355782,0.555526571124097,0.453950478178878,4.63366325781286e-11,"evi_dissimilarity","mod","Any","Dengue",11313
0.271223105404838,0.0570507387406482,0.159273144684674,0.271244723334214,0.383051062046663,0.271288259860509,5.54856492693841e-11,"forest_cover","mod","Any","Dengue",11313
