"model","waic","dic","Disease"
"Baseline",529.872187872853,556.542396789371,"Anthrax"
"Majority rule",405.734718243711,415.75884266289,"Anthrax"
"Top-ranked",404.133490153443,414.529448921305,"Anthrax"
"Any",405.734718243711,415.75884266289,"Anthrax"
"Consensus",403.647320995792,413.609832379604,"Anthrax"
