"mean","sd","lower","median","upper","mode","kld","param","model","type","Disease","Num_observations"
-3.53508484610574,0.449982589358355,-4.38649054404665,-3.54761484187426,-2.60076510944711,-3.56242945080979,2.8918178349639e-06,"Intercept","mod","Majority rule","Yellow fever",522
0.038808252580889,0.122927399508336,-0.201867950470621,0.0386455067713932,0.280403016804007,0.0383186290929069,1.68894463516644e-10,"biodiv_intact","mod","Majority rule","Yellow fever",522
0.185548766160226,0.122449265882035,-0.0542651481563413,0.18541074976911,0.426145103352566,0.185137017985063,1.24891458168735e-10,"crop_cover","mod","Majority rule","Yellow fever",522
0.0415046289910015,0.0914195664341041,-0.137935692581619,0.0415471565127366,0.220704111150432,0.0416318530378473,2.50576425900544e-11,"crop_expansion","mod","Majority rule","Yellow fever",522
0.356268821541905,0.10454090608132,0.151577417198922,0.356137272821436,0.561705881886036,0.355876176209101,1.56345907047613e-10,"evi_dissimilarity","mod","Majority rule","Yellow fever",522
0.410059741598609,0.166810753750905,0.0824470018783499,0.41019874432559,0.736888745324674,0.410478867035498,6.64782316474528e-11,"forest_cover","mod","Majority rule","Yellow fever",522
0.0472600991619688,0.0791353793044805,-0.107657609786516,0.0471532922974628,0.202782871553009,0.0469408275370582,1.86533675723896e-10,"forest_loss","mod","Majority rule","Yellow fever",522
-0.0572376958458825,0.133247741895092,-0.318358954252837,-0.0573326049725176,0.204420024229594,-0.0575223138442766,4.96996065890104e-11,"precip_change","mod","Majority rule","Yellow fever",522
0.0997776433776181,0.0834655423212169,-0.0639596409362629,0.0997845856473271,0.263475927468055,0.0997987118568745,4.70639350432081e-12,"protected_areas","mod","Majority rule","Yellow fever",522
-0.212176183373213,0.144766934975178,-0.49638108579492,-0.212093556359788,0.0715567550525159,-0.21193290018293,3.3954995439397e-11,"social_vulnerability","mod","Majority rule","Yellow fever",522
-0.471636080364707,0.263799932916042,-0.99362649693635,-0.470215159877146,0.0423386148050977,-0.467384974184588,3.3207349745424e-09,"tmean_change","mod","Majority rule","Yellow fever",522
0.452134220652017,0.085692270176322,0.284692858297483,0.451906375640804,0.620865699415023,0.451453033377701,6.94807951149981e-10,"urban_cover","mod","Majority rule","Yellow fever",522
-0.808662254753702,0.138232601336356,-1.08051190695559,-0.808408943600814,-0.538247310429451,-0.807904704070291,3.40581202525106e-10,"health_travel_log","mod","Majority rule","Yellow fever",522
-3.53674498436731,0.446772456970958,-4.38436894219111,-3.54834328414953,-2.61188067749395,-3.56156261548283,2.95427581728459e-06,"Intercept","mod","Top-ranked","Yellow fever",522
0.0558752352336444,0.12219870761727,-0.183414885816543,0.0557278085353109,0.295997811738176,0.0554319636777749,1.40423610748685e-10,"biodiv_intact","mod","Top-ranked","Yellow fever",522
0.366172095147019,0.103866666422922,0.162817505032405,0.366035179451696,0.57030315830911,0.365763828924858,1.71472481910528e-10,"evi_dissimilarity","mod","Top-ranked","Yellow fever",522
0.330469611615514,0.159111026806838,0.0178497138545667,0.330647211690235,0.642087092937644,0.331004013147046,1.19759517757376e-10,"forest_cover","mod","Top-ranked","Yellow fever",522
0.0269332601141164,0.0783984577842645,-0.126550046982779,0.0268304869160827,0.180998793974933,0.0266260522837975,1.76830397709108e-10,"forest_loss","mod","Top-ranked","Yellow fever",522
-0.0661869637880195,0.133086323106565,-0.327001343687636,-0.0662782927886607,0.195143785062351,-0.0664607138209567,4.6194690247587e-11,"precip_change","mod","Top-ranked","Yellow fever",522
-0.201746474283436,0.144085375736612,-0.484598815066362,-0.201669559896491,0.0806655882763798,-0.201520910412738,3.00016389844348e-11,"social_vulnerability","mod","Top-ranked","Yellow fever",522
-0.471124090991323,0.26326323715308,-0.991967426875825,-0.46973619052295,0.0418908257468029,-0.466970887750683,3.21787722895531e-09,"tmean_change","mod","Top-ranked","Yellow fever",522
0.428423908884232,0.0841502731822166,0.263949513168851,0.428216317656068,0.594073456206916,0.427802960632957,5.97931306833719e-10,"urban_cover","mod","Top-ranked","Yellow fever",522
-0.789192489080928,0.135704103086795,-1.05616776229981,-0.788909990226752,-0.523817759658233,-0.788348285524376,4.35132737701103e-10,"health_travel_log","mod","Top-ranked","Yellow fever",522
-3.55119641674437,0.450218151655042,-4.40338887020685,-3.5636129072089,-2.61695632478984,-3.57835403111546,2.67248909099004e-06,"Intercept","mod","Any","Yellow fever",522
0.0606472986777936,0.124143806356685,-0.182354217657813,0.0604632116031793,0.304687903803216,0.0600935928326664,2.11996668003548e-10,"biodiv_intact","mod","Any","Yellow fever",522
0.182738171922406,0.122637605105439,-0.0574463857060245,0.182600458636031,0.423703552992236,0.182327444320773,1.2408831661947e-10,"crop_cover","mod","Any","Yellow fever",522
0.0366075363270251,0.0914992068805277,-0.142994504926899,0.0366519932298808,0.215957861231949,0.03674057741195,2.6921585783987e-11,"crop_expansion","mod","Any","Yellow fever",522
0.352158498956992,0.104765745468588,0.147018737041183,0.352029503978715,0.55802937431675,0.35177341078843,1.49665906955883e-10,"evi_dissimilarity","mod","Any","Yellow fever",522
0.360583507586028,0.171166526221304,0.0244826695090964,0.360705930833909,0.695994720664871,0.360953267083421,4.96986505875509e-11,"forest_cover","mod","Any","Yellow fever",522
0.0482434965898118,0.079183918567573,-0.106768174763725,0.0481362747896715,0.203862517983676,0.0479229254397447,1.87746066594187e-10,"forest_loss","mod","Any","Yellow fever",522
-0.0565541752407324,0.133241847751685,-0.31763275045143,-0.0566595510883493,0.205120108907068,-0.0568701341576384,6.09586798920613e-11,"precip_change","mod","Any","Yellow fever",522
