"crop_expansion:1","evi_dissimilarity:1","forest_cover:1","forest_loss:1","protected_areas:1","social_vulnerability:1","urban_cover:1","health_travel_log:1","livestock_log:1","type","id","Disease"
-0.606108214681932,-0.257465618422662,0.281943116525569,-0.260867976501982,-0.718152683004955,-0.319329970923703,0.572666443767745,-0.440455896594251,0.995474151543195,"Top-ranked",670712,"Nipah virus disease"
-1.38992694619524,-0.0277987788640994,0.18365017172033,-0.357069234889264,-0.68014791728538,0.465718745651912,0.276392681000144,-0.0283856290885506,0.736006389241749,"Top-ranked",670712,"Nipah virus disease"
-0.211751660592105,-0.315651109742069,0.561117230390531,0.422393426345917,-0.523241639436376,-0.503992358398321,0.947268949528977,0.432659329839901,1.96491474364732,"Top-ranked",670712,"Nipah virus disease"
-0.242156026571756,0.0800070407944307,-0.29489226913656,0.649620981015489,0.437276679151792,-0.618453690387132,0.0992290524839586,-0.132764230464988,1.46746338219862,"Top-ranked",670712,"Nipah virus disease"
-0.706594929378838,0.172294825716706,0.388854377664057,-0.120789485719937,-1.24878291253193,-0.362666381660114,-0.369007536008532,-0.961163800809111,1.56066208087773,"Top-ranked",670712,"Nipah virus disease"
-0.010419762014877,0.0730355494103196,-0.35107704496874,-1.00331517759299,-0.71646689439461,-0.225181379000373,0.499807817520074,0.0179467915652032,0.834380648905408,"Top-ranked",670712,"Nipah virus disease"
-1.3819801359351,0.00397929228230638,-0.175192195214531,-0.278002917828522,0.111923042256219,-0.474320073115246,0.513648971499153,-0.163179939337741,1.82156947085469,"Top-ranked",670712,"Nipah virus disease"
0.533455741176624,0.841130077877524,0.0633980058827768,-0.300125560584932,0.842147470934804,0.283784438754016,0.525892705428113,-0.0119833104333003,0.594756542375289,"Top-ranked",670712,"Nipah virus disease"
-0.0908578143994642,0.0714557673397151,0.112407494977713,0.992092913281091,-0.0724909863921873,0.379017283918707,0.942322343272652,-0.419794078046451,2.09029292921094,"Top-ranked",670712,"Nipah virus disease"
-0.52496126789828,-0.0304997117319531,-0.104209726964441,-0.266104127560138,0.087389461528055,0.0763181932471963,-0.0774714958107364,-0.873144770204734,1.98233934229212,"Top-ranked",670712,"Nipah virus disease"
-0.396723619903798,0.172835564180018,0.805729007983905,0.340030051603993,-1.25364516244385,-0.0459539010726821,0.346890153950005,-1.16912604638484,1.09986775662141,"Top-ranked",670712,"Nipah virus disease"
-0.107048519470742,-0.344457903376672,0.824038020140296,0.269165474889081,-0.17671776346333,0.393515242773758,0.568494828747245,-0.669340540223809,1.52234179792321,"Top-ranked",670712,"Nipah virus disease"
-0.104802832042964,0.324526162136847,0.47850373882908,0.239857554504524,-0.292715918320626,0.412705557635853,0.304716407657116,-0.371003728973262,1.79057240437722,"Top-ranked",670712,"Nipah virus disease"
-0.344316480453535,-0.579086450162297,0.281691654061132,-0.209862413838676,-0.00546065599361822,-0.0218164185975557,0.855750763328509,-0.0814180355688027,1.95179959475668,"Top-ranked",670712,"Nipah virus disease"
-0.636872412587404,-0.156023986441626,0.240608599356013,-0.15474004521419,-0.223148648998029,-0.163820886571718,0.227325502344888,-0.987581315929697,1.19596902881786,"Top-ranked",670712,"Nipah virus disease"
-0.138989922441241,0.719046973194558,0.224666431301384,0.415756187915947,0.177066694969005,-0.217721507166594,0.111176819317255,-0.856459404341756,1.76550545849054,"Top-ranked",670712,"Nipah virus disease"
-0.608096414240264,-0.46999189709453,0.44978275680202,-0.359035952673364,-1.44552213565823,-0.52613962819602,0.398256860562728,-0.0665598918641945,0.812791925584603,"Top-ranked",670712,"Nipah virus disease"
-0.730457887498503,-0.306257022301354,-0.286518869553065,0.463867253407338,-0.184383457403492,-0.716957461371727,0.130102128241324,-0.0967748557952266,2.73449426000182,"Top-ranked",670712,"Nipah virus disease"
-0.497366232181487,-0.052831260386072,-0.652080546373781,0.215916630977783,-1.11327604458824,-0.571421510222519,-0.0829501126238473,-0.156363044049341,2.02702345273112,"Top-ranked",670712,"Nipah virus disease"
-0.659365925432041,-0.233322445981402,-0.190595234232961,0.551206321823029,-0.207073573455203,-0.786616690869823,-0.0223892815257722,-0.431104260281014,1.68458891865485,"Top-ranked",670712,"Nipah virus disease"
