"crop_expansion:1","evi_dissimilarity:1","forest_cover:1","forest_loss:1","precip_change:1","protected_areas:1","urban_cover:1","livestock_log:1","type","id","Disease"
-0.226366389471447,0.624503561288026,0.937747588762705,0.0830714009016761,-0.253830532219409,-0.0959367236462097,0.146533009058207,0.349836103533718,"Majority rule",431291,"Jamestown Canyon virus disease"
-0.175290027446897,0.449423263635377,0.727676295632268,-0.169166246172951,-0.0085816787763954,0.0185547017613528,0.204672824987606,-0.0470658483206,"Majority rule",431291,"Jamestown Canyon virus disease"
-0.162723669798421,0.481899264750439,0.710015163780319,-0.351475579327179,-0.112665281967113,-0.202110419258162,0.0651217264187712,0.148611534577782,"Majority rule",431291,"Jamestown Canyon virus disease"
0.0662994859641926,0.426234681556957,0.629931707780429,-0.219357212975496,-0.108286311960345,0.0212009008824177,0.233260868671786,0.2983940696763,"Majority rule",431291,"Jamestown Canyon virus disease"
0.108613176546538,0.172659223569761,0.562983334009336,-0.0585549511560353,-0.373856955669362,0.118148571246296,0.431835969427914,0.0858999631841532,"Majority rule",431291,"Jamestown Canyon virus disease"
-0.045070229140371,0.88590484802319,0.911533349258276,-0.22324791495096,-0.239149714169139,-0.338106676830171,0.0535588029060153,-0.036052151021421,"Majority rule",431291,"Jamestown Canyon virus disease"
0.141303559082814,0.318158870240081,0.735501525710063,-0.0294560479806701,-0.189610458887745,0.106685062987978,0.40826402484538,-0.0324028994859046,"Majority rule",431291,"Jamestown Canyon virus disease"
-0.0162474138695906,0.334104565312295,0.359883231757414,0.207273996073803,-0.517268051922421,-0.147849817379535,0.124114993303953,0.0946916343895576,"Majority rule",431291,"Jamestown Canyon virus disease"
-0.051388831176209,0.259070284142433,0.413334888377297,0.0200590959058154,-0.558166798190571,-0.133235768932,0.3489562619617,0.337693461317896,"Majority rule",431291,"Jamestown Canyon virus disease"
-0.28590460880852,0.61623691877619,0.954921476233995,-0.695326946417693,0.0376901662680338,-0.160539981134718,0.246700620699069,0.101628049123512,"Majority rule",431291,"Jamestown Canyon virus disease"
-0.324784988047223,0.131339618419379,0.567671732604822,-0.564995362761534,0.161675905203379,-0.294405230079074,0.335857055876343,0.231336504714234,"Majority rule",431291,"Jamestown Canyon virus disease"
-0.0408656636718584,0.738863498273777,0.870394101443778,-0.399705570372006,-0.0890103676872512,-0.140977325962908,0.0892051974918259,-0.181820932711793,"Majority rule",431291,"Jamestown Canyon virus disease"
-0.179816026756797,0.788367094948395,0.905311163663706,-0.383124243220131,-0.0742440735742144,-0.48573358664671,0.240735148132634,0.55910162396254,"Majority rule",431291,"Jamestown Canyon virus disease"
-0.236228495207482,0.428301620499708,0.8751539519119,-0.484825934484695,-0.168348894682402,0.110763687089765,0.266781037831038,0.1402979687104,"Majority rule",431291,"Jamestown Canyon virus disease"
-0.0337966896791224,0.123903680841757,0.607145373233836,-0.0877297243597012,-0.611427154055745,-0.146178024625722,0.513158165394658,0.169032065422718,"Majority rule",431291,"Jamestown Canyon virus disease"
-0.153815120795599,0.447427098364166,0.42538353627857,-0.0553432771902568,-0.0843193871594045,-0.246256026738365,-0.0117501242046519,-0.146216825443684,"Majority rule",431291,"Jamestown Canyon virus disease"
-0.121624148650845,0.0380975222693555,0.549482388323948,0.0421065829206486,-0.542135494154635,-0.19091454767174,0.462397053555316,0.192567069531338,"Majority rule",431291,"Jamestown Canyon virus disease"
0.104884636060587,0.732468601431024,0.83198768464866,-0.163451337183897,-0.119721061554499,-0.251601123040241,0.166593235645909,-0.0926722865523358,"Majority rule",431291,"Jamestown Canyon virus disease"
-0.149644490195174,0.337399129329017,0.512215231836552,-0.0212490775551099,0.021927411738819,-0.185753360736863,0.322089429266725,0.296516218294956,"Majority rule",431291,"Jamestown Canyon virus disease"
-0.0861376400033361,0.0572244058719367,0.892948793328575,-0.392089795186332,0.479448992284856,-0.512111969282977,0.371437385735794,0.252878093935578,"Majority rule",431291,"Jamestown Canyon virus disease"
-0.0113867181762758,0.750355472338672,0.662752409972941,0.0792133451732684,-0.251264674888327,-0.129358773216017,0.201431383114183,-0.0530975322949504,"Majority rule",431291,"Jamestown Canyon virus disease"
-0.008005471988458,0.381624870007686,0.835452068224673,0.0110426314269287,-0.534062880479918,-0.219834162322021,0.453735293796317,0.365445793676004,"Majority rule",431291,"Jamestown Canyon virus disease"
-0.396229728582627,-0.0509559043446517,0.209587343256523,-0.0217406298156836,-0.252906420616179,-0.281658001679002,0.446219144064215,0.189420737103819,"Majority rule",431291,"Jamestown Canyon virus disease"
-0.625456791222652,0.57132507669944,0.455567419037584,-0.596767656874619,-0.162059597925687,-0.10781551359707,0.368472727312848,0.614925849618636,"Majority rule",431291,"Jamestown Canyon virus disease"
-0.148659658852205,0.584808153467469,0.914064754385287,-0.381223535334376,-0.155390784784144,-0.0381951939096815,0.232061143850773,-0.00451050196288885,"Majority rule",431291,"Jamestown Canyon virus disease"
0.00524488073905401,0.459877794920844,0.374537886391577,-0.167402619201446,-0.148609240473239,-0.091142690175297,0.20476001316041,0.341868278297418,"Majority rule",431291,"Jamestown Canyon virus disease"
-0.141119739848954,0.947829349074417,0.950569513765012,-0.453743963932112,-0.0368122400082533,-0.141430116733906,0.0104276272318392,-0.011256274991837,"Majority rule",431291,"Jamestown Canyon virus disease"
0.0554053927482665,0.437790758109955,0.840561964677945,-0.325728689422854,-0.0869139493540191,-0.347083840517536,-0.0449217718498122,0.0474299350513841,"Majority rule",431291,"Jamestown Canyon virus disease"
