Country,Longitude,Latitude,Source,Years
Uganda,29.99816529,-0.753266932,Balinandi et al 2022,2013-2019
Uganda,30.50283471,-0.63940239,Balinandi et al 2022,2013-2019
Uganda,30.26732231,0.726972112,Balinandi et al 2022,2013-2019
Uganda,30.30096694,0.453697211,Balinandi et al 2022,2013-2019
Uganda,30.48040496,-0.127011952,Balinandi et al 2022,2013-2019
Uganda,31.00750413,-0.889904382,Balinandi et al 2022,2013-2019
Uganda,30.96264463,-0.832972112,Balinandi et al 2022,2013-2019
Uganda,30.929,-0.787426295,Balinandi et al 2022,2013-2019
Uganda,30.99628926,-0.548310757,Balinandi et al 2022,2013-2019
Uganda,31.14208264,-0.138398406,Balinandi et al 2022,2013-2019
Uganda,31.47852893,0.658653386,Balinandi et al 2022,2013-2019
Uganda,31.40002479,0.977474104,Balinandi et al 2022,2013-2019
Uganda,31.62432231,1.011633466,Balinandi et al 2022,2013-2019
Uganda,31.66918182,1.467091633,Balinandi et al 2022,2013-2019
Uganda,31.85983471,1.319067729,Balinandi et al 2022,2013-2019
Uganda,32.01684298,1.193816733,Balinandi et al 2022,2013-2019
Uganda,31.93833884,1.091338645,Balinandi et al 2022,2013-2019
Uganda,32.10656198,0.988860558,Balinandi et al 2022,2013-2019
Uganda,32.38693388,0.692812749,Balinandi et al 2022,2013-2019
Uganda,32.46543802,0.852223108,Balinandi et al 2022,2013-2019
Uganda,32.5215124,0.863609562,Balinandi et al 2022,2013-2019
Uganda,32.68973554,0.419537849,Balinandi et al 2022,2013-2019
Uganda,32.51029752,0.373992032,Balinandi et al 2022,2013-2019
Uganda,32.54394215,0.294286853,Balinandi et al 2022,2013-2019
Uganda,32.53272727,0.043784861,Balinandi et al 2022,2013-2019
Uganda,32.11777686,1.899776892,Balinandi et al 2022,2013-2019
Uganda,32.286,1.933936255,Balinandi et al 2022,2013-2019
Uganda,33.20561983,2.651282869,Balinandi et al 2022,2013-2019
