"City","2014"
"ADANA",2
"ADIYAMAN",3
"AFYONKARAHİSAR",3
"AĞRI",1
"AKSARAY",1
"AMASYA",30
"ANKARA",11
"ANTALYA",0
"ARDAHAN",0
"ARTVİN",28
"AYDIN",12
"BALIKESİR",13
"BARTIN",0
"BATMAN",1
"BAYBURT",23
"BİLECİK",0
"BİNGÖL",12
"BİTLİS",0
"BOLU",5
"BURDUR",0
"BURSA",1
"ÇANAKKALE",1
"ÇANKIRI",10
"ÇORUM",78
"DENİZLİ",1
"DİYARBAKIR",3
"DÜZCE",0
"EDİRNE",3
"ELAZIĞ",2
"ERZİNCAN",35
"ERZURUM",108
"ESKİŞEHİR",1
"GAZİANTEP",0
"GİRESUN",28
"GÜMÜŞHANE",44
"HAKKARİ",0
"HATAY",1
"IĞDIR",1
"ISPARTA",3
"İSTANBUL",21
"İZMİR",2
"KAHRAMANMARAŞ",2
"KARABÜK",6
"KARAMAN",0
"KARS",3
"KASTAMONU",23
"KAYSERİ",10
"KİLİS",0
"KIRIKKALE",1
"KIRKLARELİ",5
"KIRŞEHİR",1
"KOCAELİ",2
"KONYA",1
"KÜTAHYA",7
"MALATYA",1
"MANİSA",4
"MARDİN",1
"MERSİN",1
"MUĞLA",3
"MUŞ",3
"NEVŞEHİR",0
"NİĞDE",0
"ORDU",7
"OSMANİYE",0
"RİZE",0
"SAKARYA",0
"SAMSUN",27
"SİİRT",1
"SİNOP",1
"SİVAS",72
"ŞANLIURFA",3
"ŞIRNAK",2
"TEKİRDAĞ",2
"TOKAT",219
"TRABZON",1
"TUNCELİ",3
"UŞAK",0
"VAN",0
"YALOVA",2
"YOZGAT",65
"ZONGULDAK",0
