"City","2011"
"ADANA",3
"ADIYAMAN",1
"AFYONKARAHİSAR",2
"AĞRI",2
"AKSARAY",0
"AMASYA",47
"ANKARA",25
"ANTALYA",1
"ARDAHAN",3
"ARTVİN",19
"AYDIN",3
"BALIKESİR",0
"BARTIN",0
"BATMAN",0
"BAYBURT",9
"BİLECİK",0
"BİNGÖL",21
"BİTLİS",2
"BOLU",14
"BURDUR",2
"BURSA",2
"ÇANAKKALE",2
"ÇANKIRI",19
"ÇORUM",137
"DENİZLİ",0
"DİYARBAKIR",2
"DÜZCE",0
"EDİRNE",0
"ELAZIĞ",1
"ERZİNCAN",12
"ERZURUM",55
"ESKİŞEHİR",1
"GAZİANTEP",0
"GİRESUN",31
"GÜMÜŞHANE",83
"HAKKARİ",1
"HATAY",0
"IĞDIR",1
"ISPARTA",1
"İSTANBUL",10
"İZMİR",3
"KAHRAMANMARAŞ",0
"KARABÜK",12
"KARAMAN",0
"KARS",0
"KASTAMONU",22
"KAYSERİ",8
"KİLİS",0
"KIRIKKALE",0
"KIRKLARELİ",0
"KIRŞEHİR",2
"KOCAELİ",1
"KONYA",2
"KÜTAHYA",3
"MALATYA",5
"MANİSA",0
"MARDİN",0
"MERSİN",3
"MUĞLA",1
"MUŞ",4
"NEVŞEHİR",0
"NİĞDE",0
"ORDU",3
"OSMANİYE",1
"RİZE",1
"SAKARYA",1
"SAMSUN",23
"SİİRT",0
"SİNOP",0
"SİVAS",80
"ŞANLIURFA",2
"ŞIRNAK",0
"TEKİRDAĞ",0
"TOKAT",258
"TRABZON",3
"TUNCELİ",6
"UŞAK",1
"VAN",3
"YALOVA",0
"YOZGAT",115
"ZONGULDAK",0
