"record_id","Longitude","Latitude","ADMcode","presence","biodiv_intact","crop_cover","crop_expansion","evi_coefvar","evi_dissimilarity","forest_cover","forest_loss","health_travel","hunting","livestock_all","mining","precip","precip_anomaly","precip_change","protected_areas","social_vulnerability","tmean","tmean_anomaly","tmean_change","urban_cover","urban_expansion","livestock_ruminants","health_travel_log","livestock_log"
"1",14.1494,11.05,"Pts_1",1,0.937900483608246,0.246609277372921,0.19100058852608,0.0737918242812157,2.25416159629822,0.0630361789230913,0,5.47425651550293,NA,101.813133239746,0,543.929748535156,-0.0199126377701759,-5.53801870346069,0,94.7723617553711,27.2559642791748,0.37314385175705,0.322005778551102,0.0496788684099988,0.0235121678560972,98.9523010253906,1.86783377713229,4.6046930824462
"2",14.32,10.59,"Pts_2",1,0.872224450111389,0.291199425707461,0.033586432710743,0.103038229048252,3.09626364707947,0.0378542318014003,0,3.64980101585388,NA,100.400741577148,0,597.907775878906,0.0204662326723337,0.669875264167786,0,87.1661071777344,27.7458686828613,0.391158014535904,0.358820676803589,0.316275420947171,0.0990802645683289,98.9552230834961,1.53682442639416,4.6047223165445
"3",9.93,4.95,"Pts_3",1,0.853024363517761,0.0295635524698257,0.00658268257507501,0.055868923664093,2.69906115531921,0.554472292596217,0,13.6551446914673,0.350048094987869,17.0646877288818,0,3520.76806640625,0.106105968356133,317.28466796875,0,76.1991119384766,21.6117401123047,1.57548034191132,0.479655206203461,0.153727977022582,0.0346039161086082,8.34665870666504,2.6847914472951,2.23501892185723
"4",18.58,4.36,"Pts_4",1,0.825580298900604,0.0127959334387415,0.0641511188209236,0.0843100771307945,3.03295993804932,0.141780752022154,0,5.93280506134033,0.26947820186615,7.62688684463501,0,1234.72204589844,-0.497117877006531,-85.217414855957,0,82.1752777099609,26.5681819915771,0.393381357192993,-0.0764342546463013,0.429786867364848,0.0351980738341808,6.53271722793579,1.93626450206041,2.01925583036332
"5",15.04,12.11,"Pts_5",1,0.802010834217072,0.0283331857254812,0,0.144983798265457,3.27730178833008,0.0201799048794246,0,3.92191386222839,NA,71.5489273071289,0,424.005584716797,-0.127701967954636,-63.3296699523926,0.240572884678841,63.1151466369629,29.0100746154785,0.631849944591522,0.745676755905151,0.616403837693101,0.185701847076416,71.5469589233398,1.59369745125262,4.28423406147495
"6",11.8603,-4.7894,"Pts_6",1,0.822220802307129,0.0146166794201995,0,0.15917244553566,3.80280995368958,0.0102456650381266,0.00315269,0.8580122590065,NA,2.01382565498352,0,1280.193359375,1.32480263710022,492.090393066406,0,56.0150680541992,24.8377780914307,1.69781160354614,0.691604912281036,0.857855048673194,0.216314196586609,1.40421211719513,0.619507238328169,0.8772222478866
"7",15.28,-4.25,"Pts_7",1,0.758805513381958,0.02105262119896,0.0082237276050417,0.132712289690971,3.34917449951172,0.0244572759171598,0,5.90839767456055,0.0598751120269299,4.52667999267578,0,1098.42663574219,0.191258385777473,79.9834899902344,0.0107479812577367,46.5513801574707,25.3833179473877,0.846259117126465,0.230256989598274,0.583683203427417,0.238329976797104,4.23031759262085,1.93273772587715,1.65447200139964
"8",8.78,-0.71,"Pts_8",1,0.900537312030792,0.0296197860466025,0,0.11511392891407,2.92379713058472,0.0757500037311664,0,2.80770468711853,NA,1.90914356708527,0,NA,NA,NA,0,46.4750442504883,NA,NA,NA,0.58668992678381,0.169512331485748,1.09894979000092,1.33702656327027,0.741437119638101
"9",11.01,-1.86,"Pts_9",1,0.728824257850647,0.0181518024705185,0,0.060454361140728,2.8295910358429,0.30709392637717,0.024692905,18.5455646514893,0.746314942836761,1.95703399181366,0,2281.4755859375,0.407525897026062,423.743286132812,0,80.0768356323242,25.0616035461426,1.81220662593842,0.559593021869659,0.0638484579501107,0.00442167324945331,1.14455354213715,2.97274838864543,0.762931391852279
"10",12.86,0.56,"Pts_10",1,0.85735672712326,0.0138839405419851,0,0.0584942102432251,3.30673837661743,0.631156156737205,0.533222555,9.08997058868408,0.845785617828369,1.89811778068542,0,1486.033203125,-0.162867233157158,151.553024291992,0,83.1655502319336,24.3042049407959,1.19019329547882,0.305936276912689,0.0851356456103856,0.00625983299687505,1.08873248100281,2.31154191946375,0.736557413580651
