"record_id","Longitude","Latitude","ADMcode","presence","biodiv_intact","crop_cover","crop_expansion","evi_coefvar","evi_dissimilarity","forest_cover","forest_loss","health_travel","hunting","livestock_all","mining","precip","precip_anomaly","precip_change","protected_areas","social_vulnerability","tmean","tmean_anomaly","tmean_change","urban_cover","urban_expansion","health_travel_log","livestock_log"
"bg_692",102.840294917727,3.69393482110801,"bg_692",0,1.00039422512054,0.0310299540815613,0.000172391672724256,0.0322045348584652,1.84256100654602,0.839946028996968,0.539693617,91.7494735717773,0.890410125255585,5.40310335159302,0.00380458636209369,2634.4365234375,1.00338852405548,356.678436279297,5.51642915525008e-05,63.6856498718262,25.3935680389404,0.692939102649689,0.604595422744751,0.0126613791794834,0.000707872619386762,4.52990202569545,1.85678277152666
"bg_693",102.567305633049,2.17660238657816,"bg_693",0,0.900599658489227,0.0457753598044335,0.00431958318011937,0.0581578053534031,3.10516571998596,0.65331450406254,0.479600695,6.55679082870483,0.529815673828125,43.0029830932617,0,2210.6279296875,1.0682053565979,335.492095947266,0.0203680563718081,43.4188652038574,26.4435997009277,0.494778990745544,0.486184328794479,0.1129091174505,0.0322160720825195,2.02244660651098,3.78425742919424
"bg_694",103.759552891058,0.867511903389144,"bg_694",0,1.00456404685974,0.0175919967400846,0.000326113942938733,0.07484982162714,3.71225953102112,0.673841373462197,0.070110858,70.4904937744141,NA,13.402660369873,0,2599.7060546875,0.732903361320496,249.879974365234,0,71.3434677124023,27.1019325256348,1.49340951442719,0.457664549350739,0.0125514389467655,0.000940343656111509,4.26956448665677,2.66741293742601
"bg_695",114.42088215845,3.92500752809645,"bg_695",0,0.964395403862,0.0116796806063213,5.72529091401774e-05,0.040959257632494,2.31687712669373,0.825262636565301,0.34907601,109.851341247559,0.960303783416748,2.96334505081177,0,2947.77416992188,-0.280559629201889,140.082107543945,0.00309062609449029,70.4406204223633,25.8807487487793,1.83809590339661,0.611032068729401,0.00132480636473211,7.18705778126605e-05,4.70819003565135,1.3770883785008
"bg_696",116.214217355988,5.13740706985681,"bg_696",0,0.976142644882202,0.0139581172091003,0.000179043997701148,0.0331634394824505,1.96925294399261,0.661782096572469,0.492246895,35.1929664611816,0.789234161376953,3.30329203605652,0,1973.59545898438,-0.289177983999252,65.4278945922852,0.0954218879342079,73.4067535400391,24.1008987426758,1.89198350906372,0.795918583869934,0.0049224815990138,0.000493816623929888,3.58886480330124,1.45938031956574
"bg_697",101.773281336102,3.34227538381183,"bg_697",0,0.975551068782806,0.00779898456290475,0.000819452080427843,0.0547798685729504,2.37961006164551,0.834934785298588,0.101529079,46.6224975585938,0.479916960000992,29.6795234680176,0,2733.32495117188,1.23394799232483,296.480285644531,0.418399661779404,40.9094924926758,23.9891300201416,0.785343647003174,0.587922513484955,0.110981317624924,0.0244982056319714,3.8633052873649,3.42359544404523
"bg_698",111.427933924659,-0.171127908275436,"bg_698",0,0.935132801532745,0.00626532204794818,5.7434491938025e-05,0.0365634486079216,2.18194198608398,0.745885449591381,0.491176455,28.0747394561768,0.940846860408783,3.23128962516785,0,2797.4970703125,0.621787548065186,235.736862182617,0,71.7881698608398,25.7433815002441,1.4695839881897,0.615430891513824,0.00678846379658207,0,3.36986973727005,1.44250682251917
"bg_699",117.250472810758,2.85414339847832,"bg_699",0,0.972674489021301,0.0152579127039527,0.000324218452123757,0.0442629866302013,2.6635537147522,0.79157508833684,0.441851931,58.18115234375,0.942010283470154,1.11323952674866,0.000144797333632596,3332.26489257812,0.194109097123146,318.338562011719,0,70.8621520996094,25.6493377685547,2.11433792114258,0.531370341777802,0.0139246837025486,0.00168221036437899,4.08060311862686,0.748222090822028
"bg_700",103.546884201586,1.94791875676465,"bg_700",0,0.972475707530975,0.0215746042693506,0.000172246617951395,0.039536077529192,2.30109143257141,0.785085226629538,0.516713684,104.044654846191,0.81033319234848,25.9449882507324,0,2826.923828125,1.02207589149475,479.262115478516,0.16432848572731,59.9524307250977,25.3955593109131,1.07646512985229,0.461223572492599,0.0182574673800052,0.00209671980701387,4.65438554399925,3.29379731533906
"bg_701",112.271922467624,-0.170765563686249,"bg_701",0,0.975547075271606,0.0014073651947644,0,0.0274596642702818,1.72641396522522,0.906636688412031,0.403093099,193.944915771484,0.94975334405899,3.14919471740723,0,3320.46118164062,0.568348526954651,233.260971069336,0,74.799072265625,24.9917850494385,1.69413018226624,0.574598252773285,0.000574903925981711,0,5.27271703543469,1.42291427141538
"bg_702",111.707633517033,0.714457092892427,"bg_702",0,0.97090208530426,0.0132020188423388,0,0.0363168753683567,2.22741007804871,0.780864308555516,0.6739435,85.1502990722656,0.963136792182922,1.9283846616745,0,3227.63403320312,0.73597663640976,287.654174804688,0,73.5271224975586,25.8303108215332,1.44268083572388,0.579099893569946,0.00119669000135704,0,4.4560934344974,1.07445096099303
"bg_703",117.56149302189,4.46681426941919,"bg_703",0,0.972677946090698,0.00648606830037965,0,0.0452708192169666,2.37088298797607,0.694627901238119,0.516666077,98.9905166625977,0.802621006965637,3.30822849273682,0,2540.01171875,0.112914465367794,185.290115356445,0.0274722594767809,71.6817626953125,25.3535060882568,2.03110575675964,0.523739695549011,0.00814286800015549,0.00110343378037214,4.6050753481171,1.46052679705586
"bg_704",110.74363626528,1.24400784573415,"bg_704",0,0.947965681552887,0.0121710684545457,0.00032802829031232,0.0364907383918762,2.19017338752747,0.708324127768391,0.644854888,40.2174453735352,0.859990537166595,2.96627330780029,0,3106.693359375,0.996507108211517,289.353057861328,0.0176100414246321,70.2143859863281,25.9774894714355,1.33495497703552,0.594179272651672,0.0105700535960162,0.000474592903628945,3.71886159813019,1.37782694043132
"bg_705",115.173263231715,3.53497583884445,"bg_705",0,0.981112658977509,0.000243642652532329,0,0.0267005935311317,1.43763911724091,0.986524774291599,0.107384388,309.747344970703,0.987168550491333,2.96517777442932,0,3936.53100585938,-0.124072350561619,124.648147583008,0.158687859773636,70.67041015625,21.5378875732422,1.65313351154327,0.499535709619522,7.1170932388723e-05,0,5.73898018641451,1.37755069000336
