"record_id","Longitude","Latitude","ADMcode","presence","biodiv_intact","crop_cover","crop_expansion","evi_coefvar","evi_dissimilarity","forest_cover","forest_loss","health_travel","hunting","livestock_all","mining","precip","precip_anomaly","precip_change","protected_areas","social_vulnerability","tmean","tmean_anomaly","tmean_change","urban_cover","urban_expansion","health_travel_log","livestock_log"
"1",45.18931,25.103174,"Pts_1",1,0.779188334941864,0.00876571303786372,0.00880667920767478,0.0849980339407921,1.00095999240875,0.000177093483492841,0,66.3742752075195,NA,6.28362989425659,0,93.6341094970703,0.571470141410828,23.6482753753662,0,64.2104034423828,25.1783084869385,1.84378266334534,1.67243146896362,0.00102190650189482,0,4.21026327158346,1.98562934979145
"2",39.853032,29.65563,"Pts_2",1,0.869202494621277,0,0,0.013418079353869,0.0481333620846272,0,0,32.6586875915527,NA,17.051815032959,0,48.2439308166504,0.503602087497711,14.4672374725342,0,64.3839340209961,21.4314346313477,1.753497838974,1.50878834724426,0.00934301333083543,0,3.51627119785258,2.89324623556609
"3",36.676452,28.406413,"Pts_3",1,0.96719354391098,0.255599570001488,0.0458279556244231,0.358686953783035,8.14546966552734,0.0353950045173341,0,10.0816173553467,NA,2.29946541786194,0,19.4737815856934,0.159014105796814,4.13301420211792,0,42.6291046142578,21.7099151611328,1.46986436843872,1.05658686161041,0.0451459208560699,0.011639665812254,2.40528764136561,1.1937604607626
"4",45.652969,28.263646,"Pts_4",1,0.729207456111908,0.000374795762782219,0,0.0799864754080772,1.09852111339569,0.000102462150976434,0,91.5763549804688,NA,1.99057161808014,0,100.279663085938,0.64921772480011,16.7669448852539,0,66.0135116577148,24.9096851348877,1.87585890293121,1.73599994182587,0,0,4.52803376326257,1.09546454574611
"5",49.864615,26.30059,"Pts_5",1,0.831305623054504,0.00017703558902244,0,0.0396777987480164,0.284414052963257,0.000270356674708688,0,28.122859954834,NA,1.99113154411316,0,78.348014831543,0.642431557178497,6.01812505722046,0,39.703483581543,26.6481609344482,2.04650545120239,1.28829455375671,0.0104299885638498,0,3.37152343124061,1.09565175865837
"6",49.364928,25.336909,"Pts_6",1,0.974394917488098,0.000840363712468986,0,0.0196279305964708,0.124388597905636,0.000119295669110593,0,21.4630508422852,NA,1.9913957118988,0,68.3652038574219,0.42681297659874,9.5900764465332,0,51.5857620239258,26.3693313598633,2.02384567260742,1.47048485279083,0.0222961109831216,0,3.11187177455959,1.0957400717657
"7",46.527421,24.533841,"Pts_7",1,0.986512362957001,0.00225045925565203,0,0.0390119440853596,0.301600396633148,0.000347548697712721,0,10.307354927063,NA,6.28411054611206,0,74.9075393676758,0.456706017255783,20.7653579711914,0.0228316877037287,27.3262100219727,25.6003913879395,1.86176824569702,1.54005646705627,0.190918549810321,0.0558703280985355,2.4254533924899,1.98569533831693
"8",39.299808,21.642796,"Pts_8",1,0.985089480876923,0.00611948269225025,0,0.132218316197395,0.896330118179321,0.00302776856175151,0,13.340539932251,NA,7.38230752944946,0,70.7729034423828,-0.361123383045197,-87.0804901123047,0,25.0921897888184,28.2960338592529,2.17221736907959,1.13321888446808,0.116138961567013,0.000776688219048083,2.66309048664194,2.12612323809845
"9",39.656727,21.392952,"Pts_9",1,0.990985989570618,0.0129286690038791,0.00122504165824769,0.0668575912714005,0.383151024580002,0.00729079837695367,0,9.88699626922607,NA,7.38252925872803,0,108.04606628418,-0.400527685880661,-112.037101745605,0.681145548820496,32.3918266296387,29.2344856262207,2.02913808822632,1.72326302528381,0.0386883239181518,0,2.38756907421744,2.12614968980584
"10",40.281335,21.375106,"Pts_10",1,0.885136783123016,0.00934513040563245,0.00530520130911059,0.103785492479801,1.29814696311951,0.0424450782574937,0,15.1139984130859,NA,7.38254261016846,0,226.417205810547,-0.177491053938866,-98.6063995361328,0,46.6511573791504,22.9714164733887,1.08152627944946,0.991151928901672,0.132928965315137,0.0134005984291434,2.77968836087454,2.12615128257449
"11",41.227171,20.018813,"Pts_11",1,0.888379871845245,0.00917356462509191,0.000985968143952753,0.106769405305386,1.41074287891388,0.0981853045687668,0,31.1754894256592,NA,38.2229423522949,0,524.199279785156,-0.134954825043678,-332.449096679688,0,40.7244110107422,26.873441696167,1.31157970428467,1.8753696680069,0.00625694880917096,0,3.4712049647312,3.66926183968534
"12",42.458542,19.965276,"Pts_12",1,0.868466019630432,0,0,0.0526885092258453,0.253766298294067,0,0,67.9740982055664,NA,18.1745128631592,0,43.8593368530273,-0.323585331439972,-18.4677352905273,0,46.0901718139648,25.0015544891357,2.04401707649231,1.40803682804108,0.00107429714158949,0,4.2337310457963,2.953581942141
"13",44.956976,20.322195,"Pts_13",1,0.909096837043762,0.176517289151387,0.0588166509606423,0.286082923412323,6.07119798660278,0.00784386084858614,0,74.3124923706055,NA,6.28739643096924,0,19.9672870635986,-0.272288501262665,-5.63389921188354,0,62.8578147888184,27.0035076141357,2.68449783325195,1.68549048900604,0.000535581224010819,0,4.32164602238181,1.98614633970176
"14",43.971879,17.484687,"Pts_14",1,0.688321709632874,1.46001435277867e-05,0,0.0591656304895878,0.377744942903519,0.000133304418974653,0,97.679557800293,NA,2.36437654495239,0,51.8767433166504,-0.414741605520248,-45.1997985839844,1,63.4009819030762,22.0012626647949,2.09093689918518,1.30615520477295,7.88407750500484e-05,0,4.59187781050289,1.21324266954231
