"ADMcode","Admin_name","Longitude","Latitude","tmean_change","precip_change","tmean_anomaly","precip_anomaly","forest_cover","forest_loss","crop_cover","crop_expansion","urban_cover","urban_expansion","evi_dissimilarity","livestock_all","health_travel","mining","biodiv_intact","protected_areas","hunting","social_vulnerability","tmean","precip"
"21_7","Ballard",-88.9992483883968,37.0584354963363,0.324724704027176,142.42626953125,0.84357362985611,0.412962734699249,0.326012969819664,0.009297742,0.401706763532338,0.0616030569512115,0.0140569672786595,0.000533808022737503,3.47673583030701,20.2677898406982,18.9807891845703,0,0.722024917602539,0.0980082750320435,NA,58.7046585083008,15.1698913574219,1260.90124511719
"21_17","Bourbon",-84.2171410825147,38.2067203584399,0.364392757415771,129.955337524414,0.832074046134949,0.453857481479645,0.141902918356475,0,0.366563992046259,0.106951871216445,0.0281672408287928,0.00297962478362024,2.51903486251831,73.0065689086914,9.11954975128174,0,0.734910249710083,0.00353241455741227,NA,58.1294441223145,13.2471446990967,1262.8857421875
"21_31","Butler",-86.6817422514736,37.2072536987894,0.426439672708511,104.885345458984,0.962806105613708,0.359590232372284,0.667145884648875,0.011162243,0.150658546861879,0.0685830588170042,0.0097109842786691,0.000340223516104743,3.09789156913757,22.0625953674316,24.1805953979492,0,0.802470326423645,0.00194138952065259,NA,60.9189605712891,14.789605140686,1290.56640625
"21_65","Estill",-83.9643057554726,37.6924137579833,0.380535095930099,124.292045593262,0.850435078144073,0.510119378566742,0.830951226925551,0.023410792,0.0347606161755925,0.0105214143704801,0.0136215951730899,0.000114063201181125,2.66603088378906,14.7534446716309,11.8274202346802,0,0.874028563499451,0.00307970633730292,NA,59.8107872009277,13.6745119094849,1303.49145507812
"21_69","Fleming",-83.6965751865053,38.3701000739299,0.361269921064377,144.699813842773,0.831858515739441,0.506182849407196,0.453792326979007,0.012794265,0.206678621700884,0.0769244258531748,0.0162319905892361,0.000905315857380629,2.5321934223175,60.570068359375,13.6560554504395,0,0.80395382642746,0.0197781231254339,NA,61.0164184570312,13.1319246292114,1236.17980957031
"21_93","Hardin",-85.9635535935337,37.6977884426527,0.40312647819519,113.888893127441,0.917961120605469,0.415641367435455,0.472197112012498,0.011390546,0.221448381401065,0.0655618250432501,0.0512357547354009,0.0111697884276509,3.44741249084473,26.9899806976318,12.3967943191528,0,0.786077499389648,0.0029974770732224,NA,53.6608695983887,14.0490112304688,1296.51171875
"21_99","Hart",-85.884690073029,37.2999073458892,0.411907285451889,100.943550109863,0.972911417484283,0.388446807861328,0.56531854343699,0.019961983,0.145328343032285,0.0633954637914181,0.0172551297123391,0.000845734612084925,2.910080909729,41.3261070251465,18.2595310211182,0,0.810510039329529,0.0293996781110764,NA,60.5420722961426,14.4209604263306,1313.40832519531
"21_131","Leslie",-83.3811209129094,37.0939772039001,0.452069491147995,87.3961639404297,0.97330766916275,0.338119983673096,0.935882625652372,0.080141703,0.00728843912077861,5.88713400175323e-05,0.00616438774736764,7.27624646970071e-05,2.28885340690613,1.11444973945618,15.2865018844604,0.00761000346392393,0.870992064476013,0.00113952998071909,NA,59.8992652893066,13.2867860794067,1341.18420410156
"21_151","Madison",-84.277974063502,37.7201057370018,0.382420480251312,124.53572845459,0.855251669883728,0.545655250549316,0.451583088668705,0.00269692,0.139713658515044,0.0367291835783886,0.0508417700744462,0.00414731074124575,2.933269739151,64.6443023681641,9.34173202514648,0,0.799786150455475,0.00674939807504416,NA,53.5778007507324,13.6551084518433,1269.51501464844
"21_155","Marion",-85.269569414685,37.5525563357801,0.395168423652649,122.11336517334,0.912199437618256,0.453546315431595,0.483369931733976,0.004169804,0.221541939095192,0.0758656662837627,0.0203597429091628,0.000674308277666569,2.85572695732117,66.1790924072266,14.1486616134644,0,0.783408463001251,0.000758085632696748,NA,58.7070732116699,13.9893760681152,1334.36767578125
"21_179","Nelson",-85.4661399062861,37.8050799110097,0.382357567548752,130.464920043945,0.88411158323288,0.452291190624237,0.49270706338724,0.006462579,0.191142707268081,0.06335478196182,0.0357493100484032,0.00419236160814762,2.94688558578491,56.1641044616699,11.3090944290161,0,0.805586338043213,0.0210088919848204,NA,56.9367065429688,13.9537019729614,1279.287109375
"17_91","Kankakee",-87.8619442441071,41.1377868005629,0.695012450218201,83.5779113769531,1.01768398284912,0.476992666721344,0.0934850456117773,0.000324125,0.744252492994684,0.00543456450507204,0.0490461479966564,0.0112031185999513,3.68187618255615,21.1846790313721,16.1870155334473,0,0.727185189723969,0.015681704506278,NA,53.5236778259277,10.8811149597168,1036.38012695312
"17_187","Warren",-90.6150104858207,40.848624505612,0.717930197715759,111.780731201172,0.937211096286774,0.409262776374817,0.0888817738613722,0,0.813023816709908,0.00430185365814421,0.0153652500917846,0.000257113191764802,3.06620478630066,64.6407012939453,15.9421215057373,0,0.678774654865265,0.000462423311546445,NA,59.6077423095703,11.1884069442749,1005.41076660156
"17_197","Will",-87.9784561209319,41.4449702875468,0.638393223285675,107.360977172852,0.97436261177063,0.563991129398346,0.158369959504157,0.000125952,0.439820620924936,0.0163191918691576,0.189518657796218,0.109236471354961,4.6974835395813,8.82112693786621,7.67545413970947,0,0.756950438022614,0.0481841191649437,NA,32.7556304931641,10.563136100769,1038.939453125
"18_27","Daviess",-87.0720711254025,38.7022852966637,0.412831455469131,143.061187744141,0.891045868396759,0.52439284324646,0.198240613644456,0.001384518,0.586731699508214,0.0395411246899616,0.0331066568245382,0.00245527736842632,3.66180753707886,79.3708419799805,12.3708896636963,0.00588341429829597,0.722626507282257,0.0367586500942707,NA,58.6973571777344,13.4242286682129,1216.61608886719
