"ID_1","NAME_1"
"TUR.1_1","Adana"
"TUR.2_1","Adiyaman"
"TUR.3_1","Afyon"
"TUR.4_1","Agri"
"TUR.5_1","Aksaray"
"TUR.6_1","Amasya"
"TUR.7_1","Ankara"
"TUR.8_1","Antalya"
"TUR.9_1","Ardahan"
"TUR.10_1","Artvin"
"TUR.11_1","Aydin"
"TUR.12_1","Balikesir"
"TUR.13_1","Bartin"
"TUR.14_1","Batman"
"TUR.15_1","Bayburt"
"TUR.16_1","Bilecik"
"TUR.17_1","Bingöl"
"TUR.18_1","Bitlis"
"TUR.19_1","Bolu"
"TUR.20_1","Burdur"
"TUR.21_1","Bursa"
"TUR.22_1","Çanakkale"
"TUR.23_1","Çankiri"
"TUR.24_1","Çorum"
"TUR.25_1","Denizli"
"TUR.26_1","Diyarbakir"
"TUR.27_1","Düzce"
"TUR.28_1","Edirne"
"TUR.29_1","Elazig"
"TUR.30_1","Erzincan"
"TUR.31_1","Erzurum"
"TUR.32_1","Eskisehir"
"TUR.33_1","Gaziantep"
"TUR.34_1","Giresun"
"TUR.35_1","Gümüshane"
"TUR.36_1","Hakkari"
"TUR.37_1","Hatay"
"TUR.38_1","Igdir"
"TUR.39_1","Isparta"
"TUR.40_1","Istanbul"
"TUR.41_1","Izmir"
"TUR.42_1","K. Maras"
"TUR.43_1","Karabük"
"TUR.44_1","Karaman"
"TUR.45_1","Kars"
"TUR.46_1","Kastamonu"
"TUR.47_1","Kayseri"
"TUR.48_1","Kilis"
"TUR.49_1","Kinkkale"
"TUR.50_1","Kirklareli"
"TUR.51_1","Kirsehir"
"TUR.52_1","Kocaeli"
"TUR.53_1","Konya"
"TUR.54_1","Kütahya"
"TUR.55_1","Malatya"
"TUR.56_1","Manisa"
"TUR.57_1","Mardin"
"TUR.58_1","Mersin"
"TUR.59_1","Mugla"
"TUR.60_1","Mus"
"TUR.61_1","Nevsehir"
"TUR.62_1","Nigde"
"TUR.63_1","Ordu"
"TUR.64_1","Osmaniye"
"TUR.65_1","Rize"
"TUR.66_1","Sakarya"
"TUR.67_1","Samsun"
"TUR.68_1","Sanliurfa"
"TUR.69_1","Siirt"
"TUR.70_1","Sinop"
"TUR.71_1","Sirnak"
"TUR.72_1","Sivas"
"TUR.73_1","Tekirdag"
"TUR.74_1","Tokat"
"TUR.75_1","Trabzon"
"TUR.76_1","Tunceli"
"TUR.77_1","Usak"
"TUR.78_1","Van"
"TUR.79_1","Yalova"
"TUR.80_1","Yozgat"
"TUR.81_1","Zinguldak"
