Country,District,Province,GADM_code,GADM_level,data_type,geo_data
,,Hai Phong,VNM.23_1,1,polygon,KHM_shapefile
,,Hanoi,VNM.27_1,1,polygon,KHM_shapefile
Cambodia,,Banteay Meanchey,KHM.1_1,1,polygon,KHM_shapefile
Cambodia,Malay,Banteay Meanchey,KHM.1.1_2,2,polygon,KHM_shapefile
Cambodia,Mongkul Borei,Banteay Meanchey,KHM.1.2_2,2,polygon,KHM_shapefile
Cambodia,Phnom Prek,Battambang,KHM.2.8_2,2,polygon,KHM_shapefile
Cambodia,Sang Ke,Battambang,KHM.2.13_2,2,polygon,KHM_shapefile
Cambodia,Kampot,Dorng Tung,KHM.7.5_2,2,polygon,KHM_shapefile
Cambodia,Cheung Prey,Kampong Cham,KHM.3.3_2,2,polygon,KHM_shapefile
Cambodia,Ponhea Kreak,Kampong Cham,KHM.25.5_2,2,polygon,KHM_shapefile
Cambodia,Stung Treng,Kampong Cham,KHM.3.10_2,2,polygon,KHM_shapefile
Cambodia,,Kampong Chhnang,KHM.4_1,1,polygon,KHM_shapefile
Cambodia,,Kampong Speu,KHM.5_1,1,polygon,KHM_shapefile
Cambodia,Kong Pisey,Kampong Speu,KHM.5.4_2,2,polygon,KHM_shapefile
Cambodia,Thpong,Kampong Speu,KHM.5.8_2,2,polygon,KHM_shapefile
Cambodia,Baray,Kampong Thom,KHM.6.1_2,2,polygon,KHM_shapefile
Cambodia,,Kampot,KHM.7_1,1,polygon,KHM_shapefile
Cambodia,Banteay Meas,Kampot,KHM.7.2_2,2,polygon,KHM_shapefile
Cambodia,Kampong Bay,Kampot,KHM.7.7.2_2,3,polygon,KHM_shapefile
Cambodia,Thek Chhou,Kampot,KHM.7.8_2,2,polygon,KHM_shapefile
Cambodia,,Kandal,KHM.8_1,1,polygon,KHM_shapefile
Cambodia,Kandal Stueng,Kandal,KHM.8.2_2,2,polygon,KHM_shapefile
Cambodia,Saang,Kandal,KHM.8.10_2,2,polygon,KHM_shapefile
Cambodia,Kampong Speu,Phnom Penh,,,,KHM_shapefile
Cambodia,Khan Por Sen Chey,Phnom Penh,KHM.16.9_2,2,polygon,KHM_shapefile
Cambodia,Khan Russey Keo,Phnom Penh,KHM.16.10_2,2,polygon,KHM_shapefile
Cambodia,Russey Keo,Phnom Penh,KHM.16.10_2,2,polygon,KHM_shapefile
Cambodia,,Prey Veng,KHM.19_1,1,polygon,KHM_shapefile
Cambodia,Kampong Trabek,Prey Veng,KHM.19.3_2,2,polygon,KHM_shapefile
Cambodia,Pea Reang,Prey Veng,KHM.19.6_2,2,polygon,KHM_shapefile
Cambodia,Bakane,Pursat,KHM.17.1_2,2,polygon,KHM_shapefile
Cambodia,Kampong Speu,Samrong Tong,KHM.5.7_2,2,polygon,KHM_shapefile
Cambodia,Pailin,Steung Trang,KHM.12.2.4_2,3,polygon,KHM_shapefile
Cambodia,Traing,Takeo,KHM.24.10_2,2,polygon,KHM_shapefile
