"Disease","Pathogen","DataType","Country","Year","Longitude","Latitude","NumCases","LocationName","Admin_name","IfPolygon_AdminLevel","ADMcode","ADMSource","Source"
"Lassa fever","Lassa arenavirus","point","Guinea",1996,-8.8,7.8,1,"Koulenin","Nzerekore",NA,NA,NA,"Gibb2017"
"Lassa fever","Lassa arenavirus","point","Guinea",1996,-8.82,7.75,8,"N'Zerekore","Nzerekore",NA,NA,NA,"Gibb2017"
"Lassa fever","Lassa arenavirus","point","Sierra Leone",1996,-11.19,7.88,1,"Kenema","Kenema District",NA,NA,NA,"Gibb2017"
"Lassa fever","Lassa arenavirus","point","Sierra Leone",1996,-10.95,8,160,"Segbwema","Kailahun District",NA,NA,NA,"Gibb2017"
"Lassa fever","Lassa arenavirus","point","Sierra Leone",1996,-11.05,8.23,18,"Bomie","Kenema District",NA,NA,NA,"Gibb2017"
"Lassa fever","Lassa arenavirus","point","Sierra Leone",1996,-11.11,8.27,42,"Buima","Kenema District",NA,NA,NA,"Gibb2017"
"Lassa fever","Lassa arenavirus","point","Sierra Leone",1996,-10.95,7.92,10,"Daabu","Kenema District",NA,NA,NA,"Gibb2017"
"Lassa fever","Lassa arenavirus","point","Sierra Leone",1996,-11.19,7.88,77,"Kenema","Kenema District",NA,NA,NA,"Gibb2017"
"Lassa fever","Lassa arenavirus","point","Sierra Leone",1996,-11.22,8.15,10,"Macca","Kenema District",NA,NA,NA,"Gibb2017"
"Lassa fever","Lassa arenavirus","point","Sierra Leone",1996,-11.13,8.21,9,"Pandebu","Kenema District",NA,NA,NA,"Gibb2017"
"Lassa fever","Lassa arenavirus","point","Sierra Leone",1996,-11.13,8.18,44,"Panguma","Kenema District",NA,NA,NA,"Gibb2017"
"Lassa fever","Lassa arenavirus","point","Sierra Leone",1996,-11.09,8.22,25,"Tokpombu","Kenema District",NA,NA,NA,"Gibb2017"
"Lassa fever","Lassa arenavirus","point","Sierra Leone",1996,-11.05,8.22,24,"Tongo","Kenema District",NA,NA,NA,"Gibb2017"
"Lassa fever","Lassa arenavirus","point","Sierra Leone",1996,-11.06,8.22,25,"Tongola","Kenema District",NA,NA,NA,"Gibb2017"
"Lassa fever","Lassa arenavirus","point","Sierra Leone",1996,-10.95,8,11,"Segbwema","Kailahun District",NA,NA,NA,"Gibb2017"
"Lassa fever","Lassa arenavirus","point","Sierra Leone",2000,-10.84,7.99,1,"Daru ","Kailahun District",NA,NA,NA,"Gibb2017"
"Lassa fever","Lassa arenavirus","point","Nigeria",2001,6.21,6.73,17,"Irrua","Edo State",NA,NA,NA,"Gibb2017"
"Lassa fever","Lassa arenavirus","point","Nigeria",2001,6.21,6.73,12,"Irrua","Edo State",NA,NA,NA,"Gibb2017"
"Lassa fever","Lassa arenavirus","point","Sierra Leone",2001,-11.74,7.95,7,"Not specified","Bo District",NA,NA,NA,"Gibb2017"
"Lassa fever","Lassa arenavirus","point","Sierra Leone",2001,-10.57,8.27,22,"Not specified","Kailahun District",NA,NA,NA,"Gibb2017"
"Lassa fever","Lassa arenavirus","point","Sierra Leone",2001,-11.19,7.88,235,"Kenema","Kenema District",NA,NA,NA,"Gibb2017"
"Lassa fever","Lassa arenavirus","point","Sierra Leone",2001,-10.96,8.64,1,"Not specified","Kono District",NA,NA,NA,"Gibb2017"
"Lassa fever","Lassa arenavirus","point","Sierra Leone",2001,-11.72,7.36,3,"Not specified","Pujehun District",NA,NA,NA,"Gibb2017"
"Lassa fever","Lassa arenavirus","point","Sierra Leone",2003,-11.58,7.93,17,"Gerihun camp","Bo District",NA,NA,NA,"Gibb2017"
"Lassa fever","Lassa arenavirus","point","Sierra Leone",2003,-11.82,7.6,58,"Jimmi Bagbo camp","Bo District",NA,NA,NA,"Gibb2017"
"Lassa fever","Lassa arenavirus","point","Sierra Leone",2003,-11.1,8.04,9,"Largo","Kenema District",NA,NA,NA,"Gibb2017"
"Lassa fever","Lassa arenavirus","point","Sierra Leone",2003,-11.64,7.55,2,"Bandajuma camp","Moyamba District",NA,NA,NA,"Gibb2017"
"Lassa fever","Lassa arenavirus","point","Sierra Leone",2003,-12.06,8.2,4,"Taiama","Moyamba District",NA,NA,NA,"Gibb2017"
"Lassa fever","Lassa arenavirus","point","Liberia",2004,-8.98,7.23,4,"Ganta","Nimba County",NA,NA,NA,"Gibb2017"
"Lassa fever","Lassa arenavirus","point","Nigeria",2004,6.076,6.749,6,"Ekpoma","Edo State",NA,NA,NA,"Gibb2017"
"Lassa fever","Lassa arenavirus","point","Nigeria",2004,6.08,7.43,6,"Ibilo","Edo State",NA,NA,NA,"Gibb2017"
"Lassa fever","Lassa arenavirus","point","Nigeria",2004,6.11,7.27,6,"Igarra","Edo State",NA,NA,NA,"Gibb2017"
"Lassa fever","Lassa arenavirus","point","Liberia",2006,-8.71,6.95,20,"Louplay","Nimba County",NA,NA,NA,"Gibb2017"
"Lassa fever","Lassa arenavirus","point","Liberia",2007,-9.36,6.83,13,"Not specified","Bong County",NA,NA,NA,"Gibb2017"
"Lassa fever","Lassa arenavirus","point","Liberia",2007,-9.76,8.29,13,"Not specified","Lofa County",NA,NA,NA,"Gibb2017"
"Lassa fever","Lassa arenavirus","point","Liberia",2007,-8.72,7.03,13,"Not specified","Nimba",NA,NA,NA,"Gibb2017"
"Lassa fever","Lassa arenavirus","point","Liberia",2008,-9.36,6.83,12,"Not specified","Bong County",NA,NA,NA,"Gibb2017"
"Lassa fever","Lassa arenavirus","point","Liberia",2008,-9.76,8.29,1,"Not specified","Lofa County",NA,NA,NA,"Gibb2017"
"Lassa fever","Lassa arenavirus","point","Mali",2009,-7.16,10.59,1,"Soromba","Sikasso region",NA,NA,NA,"Gibb2017"
