"Disease","Pathogen","DataType","Country","Year","Longitude","Latitude","LocationName","Admin_name","IfPolygon_AdminLevel","ADMcode","ADMSource","Source"
"Plasmodium knowlesi malaria","Plasmodium knowlesi","polygon","Malaysia",2006,115.45983,4.51032,"Lawas District","Sarawak State","Admin2","GAUL2_37437","GAUL","Shearer2016"
"Plasmodium knowlesi malaria","Plasmodium knowlesi","polygon","Malaysia",2006,115.09456,4.29942,"Limbang District","Sarawak State","Admin2","GAUL2_37438","GAUL","Shearer2016"
"Plasmodium knowlesi malaria","Plasmodium knowlesi","polygon","Malaysia",2005,117.10828,6.71156,"Pitas District","Sabah State","Admin2","GAUL2_37418","GAUL","Shearer2016"
"Plasmodium knowlesi malaria","Plasmodium knowlesi","polygon","Malaysia",2005,117.47874,5.80589,"Beluran District","Sabah State","para_ras1","GADM2_MYS.13.2_1","GAUL","Shearer2016"
"Plasmodium knowlesi malaria","Plasmodium knowlesi","polygon","Malaysia",2005,117.9986,5.76204,"Sandakan District","Sabah State","Admin2","GAUL2_37420","GAUL","Shearer2016"
"Plasmodium knowlesi malaria","Plasmodium knowlesi","polygon","Malaysia",2005,117.53796,5.24658,"Kinabatangan District","Sabah State","Admin2","GAUL2_37407","GAUL","Shearer2016"
"Plasmodium knowlesi malaria","Plasmodium knowlesi","polygon","Malaysia",2005,117.6586,4.47525,"Tawau District","Sabah State","Admin2","GAUL2_37424","GAUL","Shearer2016"
"Plasmodium knowlesi malaria","Plasmodium knowlesi","polygon","Malaysia",2005,116.74471,5.86567,"Ranau District","Sabah State","Admin2","GAUL2_37419","GAUL","Shearer2016"
"Plasmodium knowlesi malaria","Plasmodium knowlesi","polygon","Malaysia",2005,116.37141,4.95826,"Nabawan District","Sabah State","para_ras1","GADM2_MYS.13.12_1","GAUL","Shearer2016"
"Plasmodium knowlesi malaria","Plasmodium knowlesi","polygon","Malaysia",2005,115.95192,4.87915,"Tenom District","Sabah State","Admin2","GAUL2_37425","GAUL","Shearer2016"
"Plasmodium knowlesi malaria","Plasmodium knowlesi","polygon","Malaysia",2005,115.71505,4.66624,"Sipitang District","Sabah State","Admin2","GAUL2_37422","GAUL","Shearer2016"
"Plasmodium knowlesi malaria","Plasmodium knowlesi","polygon","Malaysia",2005,116.27259,5.26453,"Keningau District","Sabah State","Admin2","GAUL2_37406","GAUL","Shearer2016"
"Plasmodium knowlesi malaria","Plasmodium knowlesi","polygon","Malaysia",2005,116.41163,5.667,"Tambunam District","Sabah State","Admin2","GAUL2_37423","GAUL","Shearer2016"
"Plasmodium knowlesi malaria","Plasmodium knowlesi","polygon","Malaysia",2005,116.1587,5.98195,"Kota Kinabalu District","Sabah State","Admin2","GAUL2_37409","GAUL","Shearer2016"
"Plasmodium knowlesi malaria","Plasmodium knowlesi","polygon","Malaysia",2005,116.80543,6.41708,"Kota Marudu District","Sabah State","Admin2","GAUL2_37410","GAUL","Shearer2016"
"Plasmodium knowlesi malaria","Plasmodium knowlesi","polygon","Malaysia",2005,117.16646,7.25453,"Banggi island","Sabah State","para_ras2","","GAUL","Shearer2016"
"Plasmodium knowlesi malaria","Plasmodium knowlesi","point","Malaysia",2005,102.19583,4.17306,"Kampung Kuala Kenong","Pahang State","",NA,"GAUL","Shearer2016"
"Plasmodium knowlesi malaria","Plasmodium knowlesi","point","Malaysia",2005,102.53219,3.85459,"FELDA Sungai Tekam","Pahang State","",NA,"GAUL","Shearer2016"
"Plasmodium knowlesi malaria","Plasmodium knowlesi","point","Malaysia",2005,102.8105,3.57025,"Kampung Bak-Bak","Pahang State","",NA,"GAUL","Shearer2016"
"Plasmodium knowlesi malaria","Plasmodium knowlesi","point","Malaysia",2005,102.40705,3.4505,"Temerloh","Pahang State","",NA,"GAUL","Shearer2016"
"Plasmodium knowlesi malaria","Plasmodium knowlesi","point","Malaysia",2005,102.39402,3.54429,"Kampung Kertam","Pahang State","",NA,"GAUL","Shearer2016"
"Plasmodium knowlesi malaria","Plasmodium knowlesi","polygon","Malaysia",2002,113.82188,2.16453,"Kapit Division","Sarawak State","para_ras1","GADM2_MYS.14.10_1","GAUL","Shearer2016"
"Plasmodium knowlesi malaria","Plasmodium knowlesi","polygon","Malaysia",2010,101.92236,4.8826,"Gua Musang District","Kelantan State","para_ras1","GADM2_MYS.3.2_1","GAUL","Shearer2016"
"Plasmodium knowlesi malaria","Plasmodium knowlesi","polygon","Malaysia",2010,103.26824,2.44784,"Endau Rompin National Park","N Johore Province","para_ras1","","GAUL","Shearer2016"
"Plasmodium knowlesi malaria","Plasmodium knowlesi","polygon","Malaysia",2010,116.37141,4.95826,"Nabawan District","Sabah State","para_ras1","GADM2_MYS.13.12_1","GAUL","Shearer2016"
"Plasmodium knowlesi malaria","Plasmodium knowlesi","polygon","Malaysia",2010,115.95192,4.87915,"Tenom District","Sabah State","Admin2","GAUL2_37425","GAUL","Shearer2016"
"Plasmodium knowlesi malaria","Plasmodium knowlesi","polygon","Malaysia",2010,116.27259,5.26453,"Keningau District","Sabah State","Admin2","GAUL2_37406","GAUL","Shearer2016"
"Plasmodium knowlesi malaria","Plasmodium knowlesi","polygon","Malaysia",2010,116.41163,5.667,"Tambunam District","Sabah State","Admin2","GAUL2_37423","GAUL","Shearer2016"
"Plasmodium knowlesi malaria","Plasmodium knowlesi","polygon","Malaysia",2009,117.53796,5.24658,"Kinabatangan & Tongod Districts combined","Sabah State","Admin2","GAUL2_37407","GAUL","Shearer2016"
"Plasmodium knowlesi malaria","Plasmodium knowlesi","polygon","Malaysia",2009,117.6586,4.47525,"Tawau District","Sabah State","Admin2","GAUL2_37424","GAUL","Shearer2016"
"Plasmodium knowlesi malaria","Plasmodium knowlesi","polygon","Malaysia",2009,116.74471,5.86567,"Ranau District","Sabah State","Admin2","GAUL2_37419","GAUL","Shearer2016"
"Plasmodium knowlesi malaria","Plasmodium knowlesi","polygon","Malaysia",2009,115.95192,4.87915,"Tenom District","Sabah State","Admin2","GAUL2_37425","GAUL","Shearer2016"
"Plasmodium knowlesi malaria","Plasmodium knowlesi","polygon","Malaysia",2009,116.27259,5.26453,"Keningau District","Sabah State","Admin2","GAUL2_37406","GAUL","Shearer2016"
"Plasmodium knowlesi malaria","Plasmodium knowlesi","polygon","Malaysia",2009,116.41163,5.667,"Tambunam District","Sabah State","Admin2","GAUL2_37423","GAUL","Shearer2016"
"Plasmodium knowlesi malaria","Plasmodium knowlesi","polygon","Malaysia",2009,116.1587,5.98195,"Kota Kinabalu District","Sabah State","Admin2","GAUL2_37409","GAUL","Shearer2016"
"Plasmodium knowlesi malaria","Plasmodium knowlesi","polygon","Malaysia",2009,116.9267,7.01309,"Kudat District","Sabah State","Admin2","GAUL2_37412","GAUL","Shearer2016"
"Plasmodium knowlesi malaria","Plasmodium knowlesi","polygon","Malaysia",2009,115.70344,5.31565,"Beaufort District","Sabah State","Admin2","GAUL2_37405","GAUL","Shearer2016"
"Plasmodium knowlesi malaria","Plasmodium knowlesi","point","Singapore",2007,103.703828,1.417949,"forest, Lim Chu Kang urban planning area","Singapore (Sembawang-hong Kah)","",NA,"GAUL","Shearer2016"
"Plasmodium knowlesi malaria","Plasmodium knowlesi","point","Singapore",2008,103.70383,1.41795,"forest, Lim Chu Kang urban planning area","Singapore (Sembawang-hong Kah)","",NA,"GAUL","Shearer2016"
