"Disease","Pathogen","DataType","Country","Year","Longitude","Latitude","LocationName","Admin_name","IfPolygon_AdminLevel","ADMcode","ADMSource","Source"
"Plasmodium knowlesi malaria","Plasmodium knowlesi","polygon","Malaysia",2008,111.66674,2.01081,"Sarikei Division","Sarawak State","para_ras1","GADM2_MYS.14.24_1","GAUL","Shearer2016"
"Plasmodium knowlesi malaria","Plasmodium knowlesi","polygon","Malaysia",2009,111.66674,2.01081,"Sarikei Division","Sarawak State","para_ras1","GADM2_MYS.14.24_1","GAUL","Shearer2016"
"Plasmodium knowlesi malaria","Plasmodium knowlesi","polygon","Malaysia",2010,111.66674,2.01081,"Sarikei Division","Sarawak State","para_ras1","GADM2_MYS.14.24_1","GAUL","Shearer2016"
"Plasmodium knowlesi malaria","Plasmodium knowlesi","polygon","Brunei",2012,114.74779,4.52029,"Brunei","Brunei","Admin0","40","GAUL","Shearer2016"
"Plasmodium knowlesi malaria","Plasmodium knowlesi","polygon","Malaysia",2009,117.47874,5.80589,"Beluran District","Sabah State","para_ras1","GADM2_MYS.13.2_1","GAUL","Shearer2016"
"Plasmodium knowlesi malaria","Plasmodium knowlesi","polygon","Malaysia",2009,117.53796,5.24658,"Kinabatangan District","Sabah State","Admin2","GAUL2_37407","GAUL","Shearer2016"
"Plasmodium knowlesi malaria","Plasmodium knowlesi","polygon","Malaysia",2009,117.9986,5.76204,"Sandakan District","Sabah State","Admin2","GAUL2_37420","GAUL","Shearer2016"
"Plasmodium knowlesi malaria","Plasmodium knowlesi","polygon","Malaysia",2009,117.05566,5.1188,"Tongod District","Sabah State","para_ras1","GADM2_MYS.13.24_1","GAUL","Shearer2016"
"Plasmodium knowlesi malaria","Plasmodium knowlesi","polygon","Malaysia",2012,101.10926,4.77603,"Perak State","Perak State","Admin1","GAUL1_1898","GAUL","Shearer2016"
"Plasmodium knowlesi malaria","Plasmodium knowlesi","polygon","Brunei",2006,114.74779,4.52029,"Brunei","Brunei","Admin0","40","GAUL","Shearer2016"
"Plasmodium knowlesi malaria","Plasmodium knowlesi","polygon","Malaysia",2009,116.94411,6.66561,"Kudat Division","Sabah State","para_ras1","GADM2_MYS.13.9_1","GAUL","Shearer2016"
"Plasmodium knowlesi malaria","Plasmodium knowlesi","polygon","Malaysia",2010,116.94411,6.66561,"Kudat Division","Sabah State","para_ras1","GADM2_MYS.13.9_1","GAUL","Shearer2016"
"Plasmodium knowlesi malaria","Plasmodium knowlesi","polygon","Malaysia",2011,116.94411,6.66561,"Kudat Division","Sabah State","para_ras1","GADM2_MYS.13.9_1","GAUL","Shearer2016"
"Plasmodium knowlesi malaria","Plasmodium knowlesi","polygon","Malaysia",2011,116.74471,5.86567,"Ranau District","Sabah State","Admin2","GAUL2_37419","GAUL","Shearer2016"
"Plasmodium knowlesi malaria","Plasmodium knowlesi","polygon","Malaysia",2011,117.53796,5.24658,"Kinbatagan District","Sabah State","Admin2","GAUL2_37407","GAUL","Shearer2016"
"Plasmodium knowlesi malaria","Plasmodium knowlesi","polygon","Malaysia",2011,116.27259,5.26453,"Keningau District","Sabah State","Admin2","GAUL2_37406","GAUL","Shearer2016"
"Plasmodium knowlesi malaria","Plasmodium knowlesi","polygon","Malaysia",2011,116.9267,7.01309,"Kudat District","Sabah State","Admin2","GAUL2_37412","GAUL","Shearer2016"
"Plasmodium knowlesi malaria","Plasmodium knowlesi","polygon","Malaysia",2011,115.95192,4.87915,"Tenom District","Sabah State","Admin2","GAUL2_37425","GAUL","Shearer2016"
"Plasmodium knowlesi malaria","Plasmodium knowlesi","polygon","Brunei",2002,115.1723,4.60197,"Temburong District","Brunei","Admin1","GAUL1_700","GAUL","Shearer2016"
"Plasmodium knowlesi malaria","Plasmodium knowlesi","polygon","Brunei",2007,115.1723,4.60197,"Temburong District","Brunei","Admin1","GAUL1_700","GAUL","Shearer2016"
"Plasmodium knowlesi malaria","Plasmodium knowlesi","polygon","Brunei",2002,114.7147,4.62977,"Tutong District","Brunei","Admin1","GAUL1_701","GAUL","Shearer2016"
"Plasmodium knowlesi malaria","Plasmodium knowlesi","polygon","Brunei",2007,114.7147,4.62977,"Tutong District","Brunei","Admin1","GAUL1_701","GAUL","Shearer2016"
"Plasmodium knowlesi malaria","Plasmodium knowlesi","polygon","Brunei",2002,114.5408,4.36776,"Belait District","Brunei","Admin1","GAUL1_698","GAUL","Shearer2016"
"Plasmodium knowlesi malaria","Plasmodium knowlesi","polygon","Brunei",2007,114.5408,4.36776,"Belait District","Brunei","Admin1","GAUL1_698","GAUL","Shearer2016"
"Plasmodium knowlesi malaria","Plasmodium knowlesi","polygon","Malaysia",2006,113.53115,1.85242,"Kapit Hospital catchment","Sarawak State","Admin2","GAUL2_37435","GAUL","Shearer2016"
"Plasmodium knowlesi malaria","Plasmodium knowlesi","polygon","Malaysia",2007,113.53115,1.85242,"Kapit Hospital catchment","Sarawak State","Admin2","GAUL2_37435","GAUL","Shearer2016"
"Plasmodium knowlesi malaria","Plasmodium knowlesi","polygon","Malaysia",2000,113.82188,2.16453,"Kapit Division","Sarawak State","para_ras1","GADM2_MYS.14.10_1","GAUL","Shearer2016"
"Plasmodium knowlesi malaria","Plasmodium knowlesi","polygon","Malaysia",2001,113.82188,2.16453,"Kapit Division","Sarawak State","para_ras1","GADM2_MYS.14.10_1","GAUL","Shearer2016"
"Plasmodium knowlesi malaria","Plasmodium knowlesi","polygon","Malaysia",2002,113.82188,2.16453,"Kapit Division","Sarawak State","","GADM2_MYS.14.10_1","GAUL","Shearer2016"
"Plasmodium knowlesi malaria","Plasmodium knowlesi","polygon","Malaysia",2012,117.12725,5.3504,"Sabah State","Sabah State","Admin1","GAUL1_1901","GAUL","Shearer2016"
"Plasmodium knowlesi malaria","Plasmodium knowlesi","polygon","Malaysia",2013,113.82188,2.16453,"Kapit Division","Sarawak State","para_ras1","GADM2_MYS.14.10_1","GAUL","Shearer2016"
"Plasmodium knowlesi malaria","Plasmodium knowlesi","polygon","Malaysia",2013,111.48801,1.53384,"Betong District","Sarawak State","Admin2","GAUL2_37429","GAUL","Shearer2016"
"Plasmodium knowlesi malaria","Plasmodium knowlesi","polygon","Malaysia",2013,112.25189,1.96736,"Kanowit District","Sarawak State","Admin2","GAUL2_37434","GAUL","Shearer2016"
"Plasmodium knowlesi malaria","Plasmodium knowlesi","polygon","Malaysia",2013,111.66674,2.01081,"Sarikei Division","Sarawak State","para_ras1","GADM2_MYS.14.24_1","GAUL","Shearer2016"
"Plasmodium knowlesi malaria","Plasmodium knowlesi","polygon","Malaysia",2013,114.62576,3.62024,"Miri Division","Sarawak State","para_ras1","GADM2_MYS.14.19_1","GAUL","Shearer2016"
"Plasmodium knowlesi malaria","Plasmodium knowlesi","polygon","Malaysia",2013,116.94411,6.66561,"Kudat Division","Sabah State","para_ras1","GADM2_MYS.13.9_1","GAUL","Shearer2016"
"Plasmodium knowlesi malaria","Plasmodium knowlesi","polygon","Malaysia",2013,116.74471,5.86567,"Ranau District","Sabah State","Admin2","GAUL2_37419","GAUL","Shearer2016"
"Plasmodium knowlesi malaria","Plasmodium knowlesi","polygon","Malaysia",2013,115.95192,4.87915,"Tenom District","Sabah State","Admin2","GAUL2_37425","GAUL","Shearer2016"
"Plasmodium knowlesi malaria","Plasmodium knowlesi","polygon","Malaysia",2013,102.02882,5.28089,"Kelantan State","Kelantan State","Admin1","GAUL1_1893","GAUL","Shearer2016"
"Plasmodium knowlesi malaria","Plasmodium knowlesi","polygon","Malaysia",2013,102.54949,3.73185,"Pahang State","Pahang State","Admin1","GAUL1_1897","GAUL","Shearer2016"
